Fecha, Nivel(m), Gasto(m³/s)
02-11-15,0.3,0.56
03-11-15,0.29,0.55
04-11-15,0.28,0.51
05-11-15,0.28,0.5
06-11-15,0.28,0.53
07-11-15,0.28,0.52
08-11-15,0.29,0.57
09-11-15,0.3,0.58
10-11-15,0.3,0.57
11-11-15,0.3,0.59
12-11-15,0.27,0.49
13-11-15,0.27,0.5
14-11-15,0.27,0.49
15-11-15,0.28,0.5
16-11-15,0.3,0.57
17-11-15,0.3,0.57
18-11-15,0.27,0.47
19-11-15,0.27,0.48
20-11-15,0.28,0.5
21-11-15,0.28,0.54
22-11-15,0.28,0.53
23-11-15,0.28,0.51
24-11-15,0.28,0.54
25-11-15,0.28,0.51
26-11-15,0.26,0.44
27-11-15,0.28,0.51
28-11-15,0.28,0.51
29-11-15,0.28,0.5
30-11-15,0.28,0.51
01-12-15,0.28,0.45
02-12-15,0.28,0.45
03-12-15,-,-
04-12-15,-,-
05-12-15,-,-
06-12-15,-,-
07-12-15,-,-
08-12-15,-,-
09-12-15,-,-
10-12-15,-,-
11-12-15,-,-
12-12-15,-,-
13-12-15,-,-
14-12-15,-,-
15-12-15,-,-
16-12-15,-,-
17-12-15,-,-
18-12-15,-,-
19-12-15,-,-
20-12-15,-,-
21-12-15,-,-
22-12-15,-,-
23-12-15,-,-
24-12-15,-,-
25-12-15,-,-
26-12-15,-,-
27-12-15,-,-
28-12-15,-,-
29-12-15,-,-
30-12-15,-,-
31-12-15,-,-
01-01-16,-,-
02-01-16,0.23,0.24
03-01-16,0.23,0.23
04-01-16,0.23,0.25
05-01-16,0.23,0.27
06-01-16,0.23,0.26
07-01-16,0.22,0.23
08-01-16,0.22,0.22
09-01-16,0.21,0.21
10-01-16,0.21,0.21
11-01-16,0.22,0.23
12-01-16,0.22,0.22
13-01-16,0.22,0.22
14-01-16,0.23,0.24
15-01-16,0.22,0.23
16-01-16,0.22,0.27
17-01-16,0.2,0.13
18-01-16,0.2,0.13
19-01-16,0.2,0.13
20-01-16,0.2,0.13
21-01-16,0.22,0.23
22-01-16,0.22,0.22
23-01-16,0.22,0.21
24-01-16,0.23,0.23
25-01-16,0.22,0.23
26-01-16,0.22,0.22
27-01-16,0.22,0.24
28-01-16,0.23,0.25
29-01-16,0.22,0.22
30-01-16,0.22,0.23
31-01-16,0.22,0.23
01-02-16,0.22,0.23
02-02-16,0.22,0.23
03-02-16,0.21,0.18
04-02-16,0.21,0.19
05-02-16,0.21,0.2
06-02-16,0.2,0.14
07-02-16,0.21,0.2
08-02-16,0.21,0.2
09-02-16,0.21,0.2
10-02-16,0.2,0.15
11-02-16,0.21,0.19
12-02-16,0.21,0.2
13-02-16,0.2,0.17
14-02-16,0.2,0.18
15-02-16,0.2,0.17
16-02-16,0.2,0.17
17-02-16,0.2,0.17
18-02-16,0.2,0.17
19-02-16,0.2,0.17
20-02-16,0.2,0.18
21-02-16,0.19,0.13
22-02-16,0.19,0.13
23-02-16,0.19,0.13
24-02-16,0.2,0.16
25-02-16,0.19,0.12
26-02-16,0.19,0.12
27-02-16,0.19,0.12
28-02-16,0.18,0.1
29-02-16,0.18,0.1
01-03-16,0.18,0.09
02-03-16,0.19,0.11
03-03-16,0.18,0.1
04-03-16,0.18,0.08
05-03-16,0.17,0.07
06-03-16,0.17,0.07
07-03-16,0.17,0.07
08-03-16,0.17,0.06
09-03-16,0.17,0.05
10-03-16,0.17,0.05
11-03-16,0.19,0.13
12-03-16,0.2,0.15
13-03-16,0.2,0.15
14-03-16,0.2,0.13
15-03-16,0.2,0.12
16-03-16,0.2,0.13
17-03-16,0.19,0.11
18-03-16,0.19,0.12
19-03-16,0.19,0.12
20-03-16,0.19,0.1
21-03-16,0.19,0.11
22-03-16,0.19,0.1
23-03-16,0.18,0.08
24-03-16,0.02,0.1
25-03-16,0.18,0.09
26-03-16,0.19,0.09
27-03-16,0.19,0.98
28-03-16,0.18,0.05
29-03-16,0.19,0.1
30-03-16,0.18,0.08
31-03-16,0.18,0.07
01-04-16,0.18,0.08
02-04-16,0.17,0.07
03-04-16,0.17,0.07
04-04-16,0.17,0.06
05-04-16,0.17,0.06
06-04-16,0.17,0.06
07-04-16,0.17,0.06
08-04-16,0.17,0.06
09-04-16,0.17,0.06
10-04-16,0.16,0.03
11-04-16,0.16,0.03
12-04-16,0.16,0.04
13-04-16,0.17,0.06
14-04-16,0.17,0.06
15-04-16,0.17,0.06
16-04-16,0.17,0.06
17-04-16,0.18,0.07
18-04-16,0.17,0.08
19-04-16,0.17,0.07
20-04-16,0.16,0.04
21-04-16,0.16,0.05
22-04-16,0.16,0.05
23-04-16,0.25,0.36
24-04-16,0.22,0.22
25-04-16,0.21,0.18
26-04-16,0.19,0.11
27-04-16,0.18,0.08
28-04-16,0.18,0.09
29-04-16,0.17,0.07
30-04-16,0.17,0.07
01-05-16,0.15,0.03
02-05-16,0.15,0.03
03-05-16,0.15,0.03
04-05-16,0.2,0.11
05-05-16,0.17,0.08
06-05-16,0.17,0.06
07-05-16,0.17,0.05
08-05-16,0.16,0.05
09-05-16,-,-
10-05-16,0.19,0.1
11-05-16,0.18,0.09
12-05-16,0.18,0.09
13-05-16,0.29,0.68
14-05-16,0.24,0.22
15-05-16,0.23,0.18
16-05-16,0.28,0.67
17-05-16,0.25,0.28
18-05-16,0.31,0.92
19-05-16,0.24,0.25
20-05-16,0.23,0.18
21-05-16,0.23,0.19
