Comisión Nacional del Agua
Subdirección General Técnica
Estación: La Boca
Clave: BOCNL
Estado: Nuevo León
Municipio: Santiago

Fecha, Nivel(m), Gasto(m³/s)
1995/05/26,442.70,-
1995/05/27,442.32,-
1995/05/28,442.72,-
1995/05/29,442.71,-
1995/05/30,442.70,-
1995/05/31,442.72,-
1995/06/01,442.71,-
1995/06/02,442.72,-
1995/06/03,442.72,-
1995/06/04,442.73,-
1995/06/05,442.73,-
1995/06/06,442.73,-
1995/06/07,442.72,-
1995/06/08,442.73,-
1995/06/09,442.72,-
1995/06/10,442.32,-
1995/06/11,442.72,-
1995/06/12,442.76,-
1995/06/13,442.75,-
1995/06/14,442.72,-
1995/06/15,442.68,-
1995/06/16,442.68,-
1995/06/17,442.68,-
1995/06/18,442.68,-
1995/06/19,442.69,-
1995/06/20,442.70,-
1995/06/21,442.71,-
1995/06/22,442.71,-
1995/06/23,442.71,-
1995/06/24,442.71,-
1995/06/25,442.72,-
1995/06/26,442.72,-
1995/06/27,442.72,-
1995/06/28,442.72,-
1995/06/29,442.68,-
1995/06/30,442.66,-
1995/07/01,442.83,-
1995/07/02,442.81,-
1995/07/03,442.81,-
1995/07/04,442.79,-
1995/07/05,442.78,-
1995/07/06,442.83,-
1995/07/07,442.82,-
1995/07/08,442.92,-
1995/07/09,442.91,-
1995/07/10,442.92,-
1995/07/11,442.92,-
1995/07/12,442.90,-
1995/07/13,442.89,-
1995/07/14,442.88,-
1995/07/15,442.87,-
1995/07/16,442.86,-
1995/07/17,442.86,-
1995/07/18,442.85,-
1995/07/19,442.84,-
1995/07/20,442.83,-
1995/07/21,442.82,-
1995/07/22,442.82,-
1995/07/23,442.80,-
1995/07/24,442.78,-
1995/07/25,442.77,-
1995/07/26,442.75,-
1995/07/27,442.74,-
1995/07/28,442.74,-
1995/07/29,442.74,-
1995/07/30,442.70,-
1995/07/31,442.68,-
1995/08/01,442.68,-
1995/08/02,442.66,-
1995/08/03,442.67,-
1995/08/04,442.67,-
1995/08/05,442.66,-
1995/08/06,442.65,-
1995/08/07,442.64,-
1995/08/08,442.64,-
1995/08/09,442.64,-
1995/08/10,442.67,-
1995/08/11,442.73,-
1995/08/12,443.54,-
1995/08/13,445.44,-
1995/08/14,445.80,-
1995/08/15,445.94,-
1995/08/16,446.01,-
1995/08/17,446.05,-
1995/08/18,446.07,-
1995/08/19,446.07,-
1995/08/20,446.07,-
1995/08/21,446.06,-
1995/08/22,446.05,-
1995/08/23,446.03,-
1995/08/24,446.07,-
1995/08/25,446.16,-
1995/08/26,446.20,-
1995/08/27,446.22,-
1995/08/28,447.02,-
1995/08/29,447.23,-
1995/08/30,447.32,-
1995/08/31,447.38,-
1995/09/01,447.47,-
1995/09/02,447.57,-
1995/09/03,447.62,-
1995/09/04,447.63,-
1995/09/05,447.64,-
1995/09/06,447.64,-
1995/09/07,447.63,-
1995/09/08,447.60,-
1995/09/09,447.56,-
1995/09/10,447.54,-
1995/09/11,447.51,-
1995/09/12,447.47,-
1995/09/13,447.43,-
1995/09/14,447.44,-
1995/09/15,447.38,-
1995/09/16,447.34,-
1995/09/17,447.38,-
1995/09/18,447.35,-
1995/09/19,447.29,-
1995/09/20,447.21,-
1995/09/21,447.15,-
1995/09/22,447.07,-
1995/09/23,447.00,-
1995/09/24,446.94,-
1995/09/25,446.88,-
1995/09/26,446.83,-
1995/09/27,446.76,-
1995/09/28,446.71,-
1995/09/29,446.65,-
1995/09/30,446.67,-
1995/10/01,446.58,-
1995/10/02,446.52,-
1995/10/03,446.52,-
1995/10/04,446.52,-
1995/10/05,446.51,-
1995/10/06,446.51,-
1995/10/07,446.49,-
1995/10/08,446.49,-
1995/10/09,446.46,-
1995/10/10,446.42,-
1995/10/11,446.36,-
1995/10/12,446.32,-
1995/10/13,446.26,-
1995/10/14,446.22,-
1995/10/15,446.18,-
1995/10/16,446.13,-
1995/10/17,446.07,-
1995/10/18,446.04,-
1995/10/19,446.01,-
1995/10/20,445.97,-
1995/10/21,445.94,-
1995/10/22,445.98,-
1995/10/23,446.01,-
1995/10/24,446.03,-
1995/10/25,446.05,-
1995/10/26,446.05,-
1995/10/27,446.07,-
1995/10/28,446.08,-
1995/10/29,446.11,-
1995/10/30,446.13,-
1995/10/31,446.15,-
1995/11/01,446.17,-
1995/11/02,-,-
1995/11/03,446.16,-
1995/11/04,446.16,-
1995/11/05,446.16,-
1995/11/06,446.16,-
1995/11/07,446.16,-
1995/11/08,446.16,-
1995/11/09,446.15,-
1995/11/10,446.15,-
1995/11/11,446.15,-
1995/11/12,446.15,-
1995/11/13,446.14,-
1995/11/14,446.13,-
1995/11/15,446.15,-
1995/11/16,446.16,-
1995/11/17,446.16,-
1995/11/18,446.17,-
1995/11/19,446.19,-
1995/11/20,446.19,-
1995/11/21,446.19,-
1995/11/22,446.21,-
1995/11/23,446.24,-
1995/11/24,446.24,-
1995/11/25,446.24,-
1995/11/26,446.24,-
1995/11/27,446.24,-
1995/11/28,446.25,-
1995/11/29,446.25,-
1995/11/30,446.26,-
1995/12/01,446.26,-
1995/12/02,446.27,-
1995/12/03,446.29,-
1995/12/04,446.30,-
1995/12/05,446.30,-
1995/12/06,446.32,-
1995/12/07,446.32,-
1995/12/08,-,-
1995/12/09,446.34,-
1995/12/10,446.35,-
1995/12/11,446.35,-
1995/12/12,446.36,-
1995/12/13,446.37,-
1995/12/14,446.37,-
1995/12/15,446.37,-
1995/12/16,446.38,-
1995/12/17,446.40,-
1995/12/18,446.40,-
1995/12/19,446.40,-
1995/12/20,446.41,-
1995/12/21,446.42,-
1995/12/22,446.43,-
1995/12/23,446.43,-
1995/12/24,446.44,-
1995/12/25,446.46,-
1995/12/26,446.47,-
1995/12/27,446.48,-
1995/12/28,446.49,-
1995/12/29,446.50,-
1995/12/30,446.50,-
1995/12/31,446.48,-
1996/01/01,446.48,-
1996/01/02,446.49,-
1996/01/03,446.48,-
1996/01/04,446.47,-
1996/01/05,446.47,-
1996/01/06,446.46,-
1996/01/07,446.45,-
1996/01/08,-,-
1996/01/09,-,-
1996/01/10,443.44,-
1996/01/11,446.43,-
1996/01/12,446.43,-
1996/01/13,446.39,-
1996/01/14,446.38,-
1996/01/15,446.38,-
1996/01/16,446.38,-
1996/01/17,446.38,-
1996/01/18,446.36,-
1996/01/19,446.37,-
1996/01/20,446.38,-
1996/01/21,446.36,-
1996/01/22,446.35,-
1996/01/23,446.35,-
1996/01/24,446.32,-
1996/01/25,446.32,-
1996/01/26,446.30,-
1996/01/27,446.28,-
1996/01/28,446.26,-
1996/01/29,446.26,-
1996/01/30,446.26,-
1996/01/31,446.26,-
1996/02/01,446.25,-
1996/02/02,446.25,-
1996/02/03,446.23,-
1996/02/04,446.24,-
1996/02/05,446.24,-
1996/02/06,446.24,-
1996/02/07,446.24,-
1996/02/08,446.26,-
1996/02/09,446.26,-
1996/02/10,446.25,-
1996/02/11,446.24,-
1996/02/12,446.24,-
1996/02/13,446.24,-
1996/02/14,446.23,-
1996/02/15,446.23,-
1996/02/16,446.22,-
1996/02/17,446.22,-
1996/02/18,446.21,-
1996/02/19,446.20,-
1996/02/20,446.20,-
1996/02/21,446.20,-
1996/02/22,446.19,-
1996/02/23,446.18,-
1996/02/24,446.17,-
1996/02/25,446.16,-
1996/02/26,446.15,-
1996/02/27,446.13,-
1996/02/28,446.12,-
1996/02/29,446.10,-
1996/03/01,446.09,-
1996/03/02,446.08,-
1996/03/03,446.07,-
1996/03/04,446.06,-
1996/03/05,446.06,-
1996/03/06,446.05,-
1996/03/07,446.05,-
1996/03/08,446.04,-
1996/03/09,446.03,-
1996/03/10,446.03,-
1996/03/11,446.02,-
1996/03/12,446.01,-
1996/03/13,446.01,-
1996/03/14,446.01,-
1996/03/15,446.02,-
1996/03/16,446.01,-
1996/03/17,446.00,-
1996/03/18,445.99,-
1996/03/19,445.98,-
1996/03/20,445.97,-
1996/03/21,445.96,-
1996/03/22,445.96,-
1996/03/23,445.95,-
1996/03/24,445.94,-
1996/03/25,445.93,-
1996/03/26,445.92,-
1996/03/27,445.92,-
1996/03/28,445.93,-
1996/03/29,445.92,-
1996/03/30,445.92,-
1996/03/31,445.91,-
1996/04/01,445.90,-
1996/04/02,445.90,-
1996/04/03,445.91,-
1996/04/04,445.91,-
1996/04/05,445.90,-
1996/04/06,445.91,-
1996/04/07,445.92,-
1996/04/08,445.93,-
1996/04/09,445.94,-
1996/04/10,445.94,-
