ID,Usuario,Nombre,Fecha,Texto,Tipo,Likes,Retweets,Comentarios,Citas,Enlace,Imágenes,Videos,GIFs,Puntaje,colonia,calle,municipio,REGION,geometría
1244,@GobSanNicolas,Gobierno de San Nicolás,"Jun 21, 2024 · 6:19 PM UTC",cruces en zonas de riesgo juan pablo ii cristina larralde inundación baja las puentes cristina larralde inundación baja juan pablo ii cristina larralde y san nicolás inundación baja av manuel l barragán desde sendero hasta fidel vzz inundación baja,inundación,4,1,1,0,https://twitter.com/GobSanNicolas/status/1804217525036568863#m,,,,-1.424834967,,,San Nicolás,,
1245,@GobSanNicolas,Gobierno de San Nicolás,"Jun 21, 2024 · 6:19 PM UTC",encharcamientos importantes universidad y lerdo de tejada lopez mateos y fundidores,inundación,1,0,1,0,https://twitter.com/GobSanNicolas/status/1804217479818023380#m,,,,1.156329274,,,,,
1246,@GobSanNicolas,Gobierno de San Nicolás,"Jun 21, 2024 · 6:18 PM UTC",cierres viales universidad y lerdo de tejada nte sur carriles por encharcamiento sendero y balcones de anáhuacentrada a la ghoner,inundación,2,0,1,0,https://twitter.com/GobSanNicolas/status/1804217301115253146#m,,,,0.016888112,,,,,
1247,@GobSanNicolas,Gobierno de San Nicolás,"Jun 21, 2024 · 6:18 PM UTC",intensidad de lluvia por región zona poniente moderado zona centro moderado zona oriente moderado,lluvia,1,0,1,0,https://twitter.com/GobSanNicolas/status/1804217254449484192#m,,,,-0.470379263,,,,"región zona poniente moderado, zona centro moderado zona",
1248,@GobSanNicolas,Gobierno de San Nicolás,"Jun 21, 2024 · 6:17 PM UTC",san nicolás actualización tormenta tropical alberto hora viernes de junio,lluvia,5,0,1,0,https://twitter.com/GobSanNicolas/status/1804217177064570934#m,['https://pbs.twimg.com/media/GQnd9c4XkAAbpY8.jpg'],,,-0.425222516,,,San Nicolás,,
1249,@GobSanNicolas,Gobierno de San Nicolás,"Jun 21, 2024 · 5:11 PM UTC",av universidad tapia a la altura de estación del metro tapia inundación baja arroyo la talaverana a la altura de la col blas chumacera y talaverana inundación baja,inundación,2,2,0,0,https://twitter.com/GobSanNicolas/status/1804200482207903881#m,,,,-1.165575862,BLAS CHUMACERO,Avenida Universidad,,,"POLYGON Z ((-100.12474999961262 25.392290000283424 0, -100.12511000002632 25.39282000044284 0, -100.12533000027912 25.393119999888256 0, -100.1255200000478 25.393409999771848 0, -100.12572999983945 25.393730000139556 0, -100.12597000011527 25.393979999977205 0, -100.12625000043704 25.39422000025297 0, -100.1265200002976 25.394450000067593 0, -100.12664000043554 25.39453999972136 0, -100.12671000006628 25.394590000228504 0, -100.12689000027314 25.394739999951184 0, -100.12714999967261 25.394960000204037 0, -100.12661800032032 25.395633999809434 0, -100.12587999956219 25.39562999962493 0, -100.12582999995436 25.395510000386366 0, -100.12558000011677 25.39533999974134 0, -100.12531999981798 25.39521000004163 0, -100.12519000011827 25.395179999557513 0, -100.12453000025914 25.395259999649454 0, -100.12443999970606 25.394450000067593 0, -100.124519999798 25.394000000000176 0, -100.12457000030514 25.39395000039235 0, -100.12461999991291 25.39350999988676 0, -100.12467000042005 25.393059999819286 0, -100.12474999961262 25.392290000283424 0))"
1250,@GobSanNicolas,Gobierno de San Nicolás,"Jun 21, 2024 · 5:11 PM UTC",juan pablo ii cristina larralde y san nicolás inundación baja av manuel l barragán desde sendero hasta fidel vzz inundación baja av lópez mateos en sus cruces con privada lópez mateos y fundidores inundación media,inundación,2,2,0,0,https://twitter.com/GobSanNicolas/status/1804200406483919136#m,,,,-1.001472712,,,San Nicolás,,
1251,@GobSanNicolas,Gobierno de San Nicolás,"Jun 21, 2024 · 5:10 PM UTC",cruces en zonas de riesgo juan pablo ii cristina larralde inundación baja las puentes cristina larralde inundación baja,inundación,1,1,0,0,https://twitter.com/GobSanNicolas/status/1804200315941474476#m,,,,-1.383322954,,,,,
1252,@GobSanNicolas,Gobierno de San Nicolás,"Jun 21, 2024 · 5:10 PM UTC",encharcamientos importantes universidad y lerdo de tejada lopez mateos y fundidores,inundación,3,2,0,0,https://twitter.com/GobSanNicolas/status/1804200251022053884#m,,,,1.156329274,,,,,
1253,@GobSanNicolas,Gobierno de San Nicolás,"Jun 21, 2024 · 5:09 PM UTC",cierres viales universidad y lerdo de tejada nte sur carriles por encharcamiento,inundación,2,2,0,0,https://twitter.com/GobSanNicolas/status/1804200011963510963#m,,,,-0.120524824,,,,,
1254,@GobSanNicolas,Gobierno de San Nicolás,"Jun 21, 2024 · 5:09 PM UTC",intensidad de lluvia por región zona poniente moderado zona centro moderado zona oriente moderado,lluvia,2,2,0,0,https://twitter.com/GobSanNicolas/status/1804199933320249488#m,,,,-0.470379263,,,,"región zona poniente moderado, zona centro moderado zona",
