name,colonia
"['Calle Rufino Tamayo', 'Calle Frida Kahlo']","Monterrey, Nuevo León, Mexico"
Villa Génova,"Monterrey, Nuevo León, Mexico"
Calle Diego Rivera,"Monterrey, Nuevo León, Mexico"
"['Calle José Clemente Orozco', 'Calle Frida Kahlo']","Monterrey, Nuevo León, Mexico"
Calle Joaquín Pardavé,"Monterrey, Nuevo León, Mexico"
Privada el Greco,"Monterrey, Nuevo León, Mexico"
"['Calle Licenciado Juan Antonio Martínez Chavarría', 'Privada Claude Monet']","Monterrey, Nuevo León, Mexico"
Privada Paúl Gauguin,"Monterrey, Nuevo León, Mexico"
Calle Mauricio Utrillo,"Monterrey, Nuevo León, Mexico"
Calle Miguel Ángel,"Monterrey, Nuevo León, Mexico"
Villa San Marino,"Monterrey, Nuevo León, Mexico"
Calle Hacienda Canutillo,"Monterrey, Nuevo León, Mexico"
Hacienda el Porvenir,"Monterrey, Nuevo León, Mexico"
Calle Comisión Tripartita,"Monterrey, Nuevo León, Mexico"
Selenio,"Monterrey, Nuevo León, Mexico"
Calle Cerro de Papagayos,"Monterrey, Nuevo León, Mexico"
Samario,"Monterrey, Nuevo León, Mexico"
Privada Cerro del Tepeyac,"Monterrey, Nuevo León, Mexico"
Calle Cerro del Tepeyac,"Monterrey, Nuevo León, Mexico"
"['Calle Misión San Luis', 'Calle Misión San Clemente']","Monterrey, Nuevo León, Mexico"
Cerro de la Soledad,"Monterrey, Nuevo León, Mexico"
Calle Misión San Miguel,"Monterrey, Nuevo León, Mexico"
"['Calle Misión San Juan', 'Calle Misión San Antonio']","Monterrey, Nuevo León, Mexico"
Cerro del Peñón,"Monterrey, Nuevo León, Mexico"
Hacienda Santa Martha,"Monterrey, Nuevo León, Mexico"
Hacienda El Refugio,"Monterrey, Nuevo León, Mexico"
Hacienda el Refugio,"Monterrey, Nuevo León, Mexico"
Pedro Armendáriz,"Monterrey, Nuevo León, Mexico"
"['Calle Joaquín Pardavé', 'Pepé Guizar']","Monterrey, Nuevo León, Mexico"
Calle Misión Santa Ana,"Monterrey, Nuevo León, Mexico"
Calle Misión San Luis,"Monterrey, Nuevo León, Mexico"
Jorge Negrete,"Monterrey, Nuevo León, Mexico"
Cerro de la Bufa,"Monterrey, Nuevo León, Mexico"
Calle Misión San Agustín,"Monterrey, Nuevo León, Mexico"
Calle Misión San Juan,"Monterrey, Nuevo León, Mexico"
Pepé Guizar,"Monterrey, Nuevo León, Mexico"
Calle Cerro Loma Larga,"Monterrey, Nuevo León, Mexico"
Privada Misión San Fidel,"Monterrey, Nuevo León, Mexico"
Misión San Jorge,"Monterrey, Nuevo León, Mexico"
Calle Misión San Fidel,"Monterrey, Nuevo León, Mexico"
Calle Misión Santa Mónica,"Monterrey, Nuevo León, Mexico"
Privada Misión Santa Ana,"Monterrey, Nuevo León, Mexico"
Villa Turín,"Monterrey, Nuevo León, Mexico"
Villa Milán,"Monterrey, Nuevo León, Mexico"
Villa Florencia,"Monterrey, Nuevo León, Mexico"
Villa Venecia,"Monterrey, Nuevo León, Mexico"
Villa Palermo,"Monterrey, Nuevo León, Mexico"
Cerro de Santiago,"Monterrey, Nuevo León, Mexico"
Calle Cerro Mamulique,"Monterrey, Nuevo León, Mexico"
Calle Misión San Pedro,"Monterrey, Nuevo León, Mexico"
Calle Misión San Pablo,"Monterrey, Nuevo León, Mexico"
"['Calle Misión San Lucas', 'Calle Misión San Blas', 'Calle Misión San Nicolás']","Monterrey, Nuevo León, Mexico"
Calle Misión San Andrés,"Monterrey, Nuevo León, Mexico"
"['Calle Misión San Agustín', 'Calle Misión Santa Ana']","Monterrey, Nuevo León, Mexico"
Calle Jardines Colgantes,"Monterrey, Nuevo León, Mexico"
Avenida Centro Sur,"Monterrey, Nuevo León, Mexico"
Doctor José Luna Ayala,"Monterrey, Nuevo León, Mexico"
Privada Calle IV,"Monterrey, Nuevo León, Mexico"
Calle Ingeniero Francisco Beltrán,"Monterrey, Nuevo León, Mexico"
Herreros,"Monterrey, Nuevo León, Mexico"
Molino 40,"Monterrey, Nuevo León, Mexico"
Tamazunchale,"Monterrey, Nuevo León, Mexico"
Hornos Altos,"Monterrey, Nuevo León, Mexico"
Avenida Federico Gómez García,"Monterrey, Nuevo León, Mexico"
Golondrinas,"Monterrey, Nuevo León, Mexico"
Texcoco,"Monterrey, Nuevo León, Mexico"
Tapachula,"Monterrey, Nuevo León, Mexico"
Florida,"Monterrey, Nuevo León, Mexico"
Calle Albañiles,"Monterrey, Nuevo León, Mexico"
Siderúrgica,"Monterrey, Nuevo León, Mexico"
Prolongación Laminación,"Monterrey, Nuevo León, Mexico"
Palmira,"Monterrey, Nuevo León, Mexico"
Aceración,"Monterrey, Nuevo León, Mexico"
Avenida Fundiciones,"Monterrey, Nuevo León, Mexico"
Electricistas,"Monterrey, Nuevo León, Mexico"
Laminación,"Monterrey, Nuevo León, Mexico"
Mecánicos,"Monterrey, Nuevo León, Mexico"
La Maestranza,"Monterrey, Nuevo León, Mexico"
Calle Estructura,"Monterrey, Nuevo León, Mexico"
Calle Noche Buena,"Monterrey, Nuevo León, Mexico"
Loma Larga,"Monterrey, Nuevo León, Mexico"
Privada Invernadero,"Monterrey, Nuevo León, Mexico"
Invernadero,"Monterrey, Nuevo León, Mexico"
Rosas,"Monterrey, Nuevo León, Mexico"
Florama,"Monterrey, Nuevo León, Mexico"
Hortensia,"Monterrey, Nuevo León, Mexico"
Calle Tulipanes,"Monterrey, Nuevo León, Mexico"
Atixco,"Monterrey, Nuevo León, Mexico"
Prolongación Aztlán,"Monterrey, Nuevo León, Mexico"
10 de Enero,"Monterrey, Nuevo León, Mexico"
Puente Verde,"Monterrey, Nuevo León, Mexico"
Agustin Lara Norte,"Monterrey, Nuevo León, Mexico"
Calle Fernando Ancira,"Monterrey, Nuevo León, Mexico"
Calle Ignacio Altamirano,"Monterrey, Nuevo León, Mexico"
Emiliano Zapata,"Monterrey, Nuevo León, Mexico"
Francisco Villa,"Monterrey, Nuevo León, Mexico"
Nueva Progreso,"Monterrey, Nuevo León, Mexico"
Elias Reynoso Santana,"Monterrey, Nuevo León, Mexico"
Gustavo M. Garcia,"Monterrey, Nuevo León, Mexico"
I. Salgado,"Monterrey, Nuevo León, Mexico"
Privada A,"Monterrey, Nuevo León, Mexico"
Calle Parque España,"Monterrey, Nuevo León, Mexico"
Abelardo L. Rodriguez,"Monterrey, Nuevo León, Mexico"
Calle Nueva,"Monterrey, Nuevo León, Mexico"
Privada Francisco Villa,"Monterrey, Nuevo León, Mexico"
Privada Rinconada,"Monterrey, Nuevo León, Mexico"
"['Privada A', 'Hornos Altos']","Monterrey, Nuevo León, Mexico"
"['Avenida Revolución', 'Calle Francisco Márquez']","Monterrey, Nuevo León, Mexico"
Juan Escutia,"Monterrey, Nuevo León, Mexico"
Mar de Japón,"Monterrey, Nuevo León, Mexico"
Avenida San Francisco,"Monterrey, Nuevo León, Mexico"
Privada Loma Redonda,"Monterrey, Nuevo León, Mexico"
Avenida San Nicolás,"Monterrey, Nuevo León, Mexico"
Calle Progreso E,"Monterrey, Nuevo León, Mexico"
Avenida Monte Everest,"Monterrey, Nuevo León, Mexico"
Ecovía - Lincoln a Valle Soleado,"Monterrey, Nuevo León, Mexico"
Calle Cerezo,"Monterrey, Nuevo León, Mexico"
Privada Las Villas,"Monterrey, Nuevo León, Mexico"
Orión,"Monterrey, Nuevo León, Mexico"
Prolongación Morelos,"Monterrey, Nuevo León, Mexico"
Privada Camino Blanco De Barro,"Monterrey, Nuevo León, Mexico"
23 de Abril,"Monterrey, Nuevo León, Mexico"
Calle José Santos Chocano,"Monterrey, Nuevo León, Mexico"
Calle Batallón de San Blas,"Monterrey, Nuevo León, Mexico"
Calle Juan de la Barrera,"Monterrey, Nuevo León, Mexico"
Pino Aleppo,"Monterrey, Nuevo León, Mexico"
Calle Pino Piñonero,"Monterrey, Nuevo León, Mexico"
Calle Pino Prieto,"Monterrey, Nuevo León, Mexico"
20 de Octubre,"Monterrey, Nuevo León, Mexico"
Calle Pino Escobetón,"Monterrey, Nuevo León, Mexico"
Calle 13 de Septiembre,"Monterrey, Nuevo León, Mexico"
Calle Luis Gonzaga Urbina,"Monterrey, Nuevo León, Mexico"
Calle Central,"Monterrey, Nuevo León, Mexico"
CROCC,"Monterrey, Nuevo León, Mexico"
Calle Constituyentes del 57,"Monterrey, Nuevo León, Mexico"
Calle Pípila,"Monterrey, Nuevo León, Mexico"
Calle Heliodoro Pérez,"Monterrey, Nuevo León, Mexico"
Calle Leandro Martínez Leza,"Monterrey, Nuevo León, Mexico"
Calle Pino Real,"Monterrey, Nuevo León, Mexico"
Calle 21 de Marzo,"Monterrey, Nuevo León, Mexico"
Calle Fabriles,"Monterrey, Nuevo León, Mexico"
Calle Cananea,"Monterrey, Nuevo León, Mexico"
Calle Idelfonso Vázquez,"Monterrey, Nuevo León, Mexico"
Calle José Manuel Othón,"Monterrey, Nuevo León, Mexico"
Calle Pino Verde,"Monterrey, Nuevo León, Mexico"
Prisciliano Elizondo,"Monterrey, Nuevo León, Mexico"
Calle Pino Pinabete,"Monterrey, Nuevo León, Mexico"
"['Calle Pino Trompillo', 'Pino Trompillo']","Monterrey, Nuevo León, Mexico"
Calle Ocote,"Monterrey, Nuevo León, Mexico"
Calle David Berlanga,"Monterrey, Nuevo León, Mexico"
Calle Miramar,"Monterrey, Nuevo León, Mexico"
"['Calle Pino Real', 'Calle Pino Amarillo']","Monterrey, Nuevo León, Mexico"
Calle Francisco Villa,"Monterrey, Nuevo León, Mexico"
Calle Nogalar,"Monterrey, Nuevo León, Mexico"
Calle Maclovio Herrera,"Monterrey, Nuevo León, Mexico"
Calle Mirto,"Monterrey, Nuevo León, Mexico"
Calle Vía Tampico,"Monterrey, Nuevo León, Mexico"
"['Peral', 'Calle Vía Tampico']","Monterrey, Nuevo León, Mexico"
Calle Durazno,"Monterrey, Nuevo León, Mexico"
Calle Níspero,"Monterrey, Nuevo León, Mexico"
Calle Clavel,"Monterrey, Nuevo León, Mexico"
Calle Olivo,"Monterrey, Nuevo León, Mexico"
Crisantema,"Monterrey, Nuevo León, Mexico"
Privada Limón,"Monterrey, Nuevo León, Mexico"
"['Calle Nueva Rosita', 'Calle Maclovio Herrera']","Monterrey, Nuevo León, Mexico"
Calle Ciruelo,"Monterrey, Nuevo León, Mexico"
Calle Manzano,"Monterrey, Nuevo León, Mexico"
Cerezo,"Monterrey, Nuevo León, Mexico"
Ares,"Monterrey, Nuevo León, Mexico"
Prolongación Tacuba,"Monterrey, Nuevo León, Mexico"
Privada Tacuba,"Monterrey, Nuevo León, Mexico"
Villena,"Monterrey, Nuevo León, Mexico"
Privada Ares,"Monterrey, Nuevo León, Mexico"
Nonoalco,"Monterrey, Nuevo León, Mexico"
Coruña,"Monterrey, Nuevo León, Mexico"
Tepeyac,"Monterrey, Nuevo León, Mexico"
San Ángel,"Monterrey, Nuevo León, Mexico"
"['Tepeyac', 'Calle Azcapotzalco']","Monterrey, Nuevo León, Mexico"
Tacubaya,"Monterrey, Nuevo León, Mexico"
Tlalpan,"Monterrey, Nuevo León, Mexico"
Xochimilco,"Monterrey, Nuevo León, Mexico"
Tacuba,"Monterrey, Nuevo León, Mexico"
Avenida Miguel Alemán Valdés,"Monterrey, Nuevo León, Mexico"
Buenos Aires,"Monterrey, Nuevo León, Mexico"
Río de Janeiro,"Monterrey, Nuevo León, Mexico"
"['Calle Río Amazonas', 'Vesubio']","Monterrey, Nuevo León, Mexico"
Jamaica,"Monterrey, Nuevo León, Mexico"
Habana,"Monterrey, Nuevo León, Mexico"
José Alvarado,"Monterrey, Nuevo León, Mexico"
Tordillo,"Monterrey, Nuevo León, Mexico"
Calle Valle de Guadalupe,"Monterrey, Nuevo León, Mexico"
Valle de Anáhuac,"Monterrey, Nuevo León, Mexico"
Orizaba,"Monterrey, Nuevo León, Mexico"
Bahía del Alicante,"Monterrey, Nuevo León, Mexico"
Bahía Algeciras,"Monterrey, Nuevo León, Mexico"
Bahía del Geógrafo,"Monterrey, Nuevo León, Mexico"
Bahía de Panamá,"Monterrey, Nuevo León, Mexico"
Bahía de Guantánamo,"Monterrey, Nuevo León, Mexico"
Bahía de Grande,"Monterrey, Nuevo León, Mexico"
Lateral Avenida Revolución,"Monterrey, Nuevo León, Mexico"
Privada Bahía Algeciras,"Monterrey, Nuevo León, Mexico"
Bahía de Las Islas,"Monterrey, Nuevo León, Mexico"
Bahía de La Palma,"Monterrey, Nuevo León, Mexico"
Bahía de Coronado,"Monterrey, Nuevo León, Mexico"
Calle Bahía del Bristol,"Monterrey, Nuevo León, Mexico"
"['Calle Bahía del Bristol', 'Bahía de Las Islas']","Monterrey, Nuevo León, Mexico"
Calle Bahía Dorada,"Monterrey, Nuevo León, Mexico"
Bahía de Biafra,"Monterrey, Nuevo León, Mexico"
Calle Bahía Blanca,"Monterrey, Nuevo León, Mexico"
Calle Bahía de La Paz,"Monterrey, Nuevo León, Mexico"
"['Bahía de Coronado', 'Bahía de Guantánamo']","Monterrey, Nuevo León, Mexico"
"['Bahía de Guantánamo', 'Bahía de Coronado']","Monterrey, Nuevo León, Mexico"
Circuito Azorín,"Monterrey, Nuevo León, Mexico"
José Manuel Plowels,"Monterrey, Nuevo León, Mexico"
Amecameca,"Monterrey, Nuevo León, Mexico"
Antillas Menores,"Monterrey, Nuevo León, Mexico"
Huajuco,"Monterrey, Nuevo León, Mexico"
Calle Miguel de Cervantes Saavedra,"Monterrey, Nuevo León, Mexico"
Las Pampas,"Monterrey, Nuevo León, Mexico"
El Gaucho,"Monterrey, Nuevo León, Mexico"
Juventino Rosas,"Monterrey, Nuevo León, Mexico"
Salta,"Monterrey, Nuevo León, Mexico"
Agustín Lara,"Monterrey, Nuevo León, Mexico"
Puerto de Palos,"Monterrey, Nuevo León, Mexico"
Mesopotamia,"Monterrey, Nuevo León, Mexico"
Sebastián Zúñiga,"Monterrey, Nuevo León, Mexico"
Comparsita,"Monterrey, Nuevo León, Mexico"
La Ronda,"Monterrey, Nuevo León, Mexico"
La Rioja,"Monterrey, Nuevo León, Mexico"
Profesor Timoteo Hernández,"Monterrey, Nuevo León, Mexico"
Licenciado Jesús C. Treviño,"Monterrey, Nuevo León, Mexico"
Alazán,"Monterrey, Nuevo León, Mexico"
Profesor Luis Tijerina Almaguer,"Monterrey, Nuevo León, Mexico"
Félix González Salinas,"Monterrey, Nuevo León, Mexico"
Valle del Maíz,"Monterrey, Nuevo León, Mexico"
Del Maiz,"Monterrey, Nuevo León, Mexico"
Tucumán,"Monterrey, Nuevo León, Mexico"
Valle de Oaxaca,"Monterrey, Nuevo León, Mexico"
Armando Arteaga,"Monterrey, Nuevo León, Mexico"
Catamarca,"Monterrey, Nuevo León, Mexico"
Licenciado Ramón Magaña,"Monterrey, Nuevo León, Mexico"
Antonio González,"Monterrey, Nuevo León, Mexico"
Valle Nacional,"Monterrey, Nuevo León, Mexico"
Palomo,"Monterrey, Nuevo León, Mexico"
Privada Tostado,"Monterrey, Nuevo León, Mexico"
Azabache,"Monterrey, Nuevo León, Mexico"
Pony,"Monterrey, Nuevo León, Mexico"
Retinto,"Monterrey, Nuevo León, Mexico"
Bayo,"Monterrey, Nuevo León, Mexico"
Zaino,"Monterrey, Nuevo León, Mexico"
Moro,"Monterrey, Nuevo León, Mexico"
Privada Azabache,"Monterrey, Nuevo León, Mexico"
Federico García Lorca,"Monterrey, Nuevo León, Mexico"
Ortega y Gasset,"Monterrey, Nuevo León, Mexico"
Fray Luis de Granada,"Monterrey, Nuevo León, Mexico"
Félix Lope de Vega y Carpio,"Monterrey, Nuevo León, Mexico"
Rafael de Valle Inclán,"Monterrey, Nuevo León, Mexico"
Tirso de Molina,"Monterrey, Nuevo León, Mexico"
Calle Francisco de Quevedo,"Monterrey, Nuevo León, Mexico"
Privada Fray Luis De Granada,"Monterrey, Nuevo León, Mexico"
Fray Luis de León,"Monterrey, Nuevo León, Mexico"
José Zorrilla,"Monterrey, Nuevo León, Mexico"
Miguel de Unamuno,"Monterrey, Nuevo León, Mexico"
Altamisa,"Monterrey, Nuevo León, Mexico"
"['Calle Altamisa', 'Altamisa', 'Gran Lago de los Esclavos']","Monterrey, Nuevo León, Mexico"
Calle La Piedad,"Monterrey, Nuevo León, Mexico"
Avenida La Piedad,"Monterrey, Nuevo León, Mexico"
Camino de la Pradera,"Monterrey, Nuevo León, Mexico"
"['Simon Pedro', 'Calle Zebedeo', 'Calle Simón Pedro']","Monterrey, Nuevo León, Mexico"
Calle Torre Eiffel,"Monterrey, Nuevo León, Mexico"
Avenida del Centro Norte,"Monterrey, Nuevo León, Mexico"
Calle Tajo,"Monterrey, Nuevo León, Mexico"
Calle Badalona,"Monterrey, Nuevo León, Mexico"
Calle Isla de Guanahani,"Monterrey, Nuevo León, Mexico"
Calle Pino,"Monterrey, Nuevo León, Mexico"
Calle Tipitapa,"Monterrey, Nuevo León, Mexico"
Calle Mona Lisa,"Monterrey, Nuevo León, Mexico"
Calle Mausoleo,"Monterrey, Nuevo León, Mexico"
Calle Canal Medular,"Monterrey, Nuevo León, Mexico"
Santa Fe,"Monterrey, Nuevo León, Mexico"
Camino del Pastizal,"Monterrey, Nuevo León, Mexico"
Calle Perseo,"Monterrey, Nuevo León, Mexico"
Calle Maguey,"Monterrey, Nuevo León, Mexico"
Calle Bosque de Chapultepec,"Monterrey, Nuevo León, Mexico"
Calle Ciudadela 36,"Monterrey, Nuevo León, Mexico"
Calle Batalla de San Blas,"Monterrey, Nuevo León, Mexico"
Calle Paistle,"Monterrey, Nuevo León, Mexico"
Calle Cuevas de Almanzora,"Monterrey, Nuevo León, Mexico"
Calle Castellón,"Monterrey, Nuevo León, Mexico"
"['Calle Palma De Mallorca', 'Calle La Sagra']","Monterrey, Nuevo León, Mexico"
Calle Andorra,"Monterrey, Nuevo León, Mexico"
Calle Elche,"Monterrey, Nuevo León, Mexico"
Calle Lérida,"Monterrey, Nuevo León, Mexico"
"['Calle Salomón', 'Calle Canal Medular']","Monterrey, Nuevo León, Mexico"
Pirámides de Egipto,"Monterrey, Nuevo León, Mexico"
Calle Estatua de Zeus,"Monterrey, Nuevo León, Mexico"
Calle Torre de Pisa,"Monterrey, Nuevo León, Mexico"
"['Calle Eloy', 'Calle Jonás']","Monterrey, Nuevo León, Mexico"
Calle Sol,"Monterrey, Nuevo León, Mexico"
Calle Marte,"Monterrey, Nuevo León, Mexico"
Calle Plutón,"Monterrey, Nuevo León, Mexico"
Calle Mercurio,"Monterrey, Nuevo León, Mexico"
Calle Constelación,"Monterrey, Nuevo León, Mexico"
Calle Neptuno,"Monterrey, Nuevo León, Mexico"
Calle Urano,"Monterrey, Nuevo León, Mexico"
Calle Saturno,"Monterrey, Nuevo León, Mexico"
Calle del Campo,"Monterrey, Nuevo León, Mexico"
Calle Palma,"Monterrey, Nuevo León, Mexico"
Calle Tierra,"Monterrey, Nuevo León, Mexico"
Calle Venus,"Monterrey, Nuevo León, Mexico"
Calle Júpiter,"Monterrey, Nuevo León, Mexico"
Calle Fomento Agrario,"Monterrey, Nuevo León, Mexico"
Calle Escarola,"Monterrey, Nuevo León, Mexico"
Calle Guamúchil,"Monterrey, Nuevo León, Mexico"
Calle Coma,"Monterrey, Nuevo León, Mexico"
Calle Badián,"Monterrey, Nuevo León, Mexico"
Calle Arcos Medievales,"Monterrey, Nuevo León, Mexico"
Calle Arcos del Portal,"Monterrey, Nuevo León, Mexico"
Calle Arcos Barrocos,"Monterrey, Nuevo León, Mexico"
Calle Arcos Históricos,"Monterrey, Nuevo León, Mexico"
Avenida Monterrey,"Monterrey, Nuevo León, Mexico"
Calle Inventi,"Monterrey, Nuevo León, Mexico"
Calle Grupo Senda,"Monterrey, Nuevo León, Mexico"
Calle del Pastizal,"Monterrey, Nuevo León, Mexico"
Calle Niobio,"Monterrey, Nuevo León, Mexico"
Calle Orto,"Monterrey, Nuevo León, Mexico"
Calle Cemento Monterrey,"Monterrey, Nuevo León, Mexico"
Calle Challenger,"Monterrey, Nuevo León, Mexico"
Calle Fortec,"Monterrey, Nuevo León, Mexico"
Privada Ladrillo,"Monterrey, Nuevo León, Mexico"
Privada Ónix,"Monterrey, Nuevo León, Mexico"
Molino,"Monterrey, Nuevo León, Mexico"
Ladrillera,"Monterrey, Nuevo León, Mexico"
Principal,"Monterrey, Nuevo León, Mexico"
Privada Principal,"Monterrey, Nuevo León, Mexico"
Privada Jesús Arreola,"Monterrey, Nuevo León, Mexico"
Berel,"Monterrey, Nuevo León, Mexico"
Central,"Monterrey, Nuevo León, Mexico"
Troqueles,"Monterrey, Nuevo León, Mexico"
Palermo,"Monterrey, Nuevo León, Mexico"
Catana,"Monterrey, Nuevo León, Mexico"
Milán,"Monterrey, Nuevo León, Mexico"
Napoles,"Monterrey, Nuevo León, Mexico"
Italia,"Monterrey, Nuevo León, Mexico"
Ámbar,"Monterrey, Nuevo León, Mexico"
Juan F. Brittingham,"Monterrey, Nuevo León, Mexico"
Corcega,"Monterrey, Nuevo León, Mexico"
Florencia,"Monterrey, Nuevo León, Mexico"
Genova,"Monterrey, Nuevo León, Mexico"
Calle Génova,"Monterrey, Nuevo León, Mexico"
Esmeralda,"Monterrey, Nuevo León, Mexico"
Rómulo Garza,"Monterrey, Nuevo León, Mexico"
Parma,"Monterrey, Nuevo León, Mexico"
Evan D. Evans,"Monterrey, Nuevo León, Mexico"
Isidoro Garza García,"Monterrey, Nuevo León, Mexico"
Andrés G. Sada,"Monterrey, Nuevo León, Mexico"
Murano,"Monterrey, Nuevo León, Mexico"
Andrés Canales,"Monterrey, Nuevo León, Mexico"
Carlos L. González,"Monterrey, Nuevo León, Mexico"
Pedro S. Tijerina,"Monterrey, Nuevo León, Mexico"
Sílice,"Monterrey, Nuevo León, Mexico"
Ópalo,"Monterrey, Nuevo León, Mexico"
Verona,"Monterrey, Nuevo León, Mexico"
Hacienda del Canelo,"Monterrey, Nuevo León, Mexico"
Hacienda San Nicolás,"Monterrey, Nuevo León, Mexico"
Hacienda del Carmen,"Monterrey, Nuevo León, Mexico"
Calle Pedregal De La Ladera,"Monterrey, Nuevo León, Mexico"
Privada Hacienda San José,"Monterrey, Nuevo León, Mexico"
Calle Hacienda San Martín,"Monterrey, Nuevo León, Mexico"
Calle Hacienda el Refugio,"Monterrey, Nuevo León, Mexico"
Calle Hacienda San Sebastián,"Monterrey, Nuevo León, Mexico"
Doctor José María Coss,"Monterrey, Nuevo León, Mexico"
Calle Carvajal y de la Cueva,"Monterrey, Nuevo León, Mexico"
Calle Vía a Tampico,"Monterrey, Nuevo León, Mexico"
Calle Ramón Treviño,"Monterrey, Nuevo León, Mexico"
Prolongación Profesor Antonio Coello,"Monterrey, Nuevo León, Mexico"
Avenida Quinta,"Monterrey, Nuevo León, Mexico"
Calle Joaquín Garza Leal,"Monterrey, Nuevo León, Mexico"
Calle Doctor Pedro Noriega,"Monterrey, Nuevo León, Mexico"
Aquiles Serdán,"Monterrey, Nuevo León, Mexico"
Privada Emiliano Zapata,"Monterrey, Nuevo León, Mexico"
Calle José Manuel Elizondo,"Monterrey, Nuevo León, Mexico"
Calle Argentina,"Monterrey, Nuevo León, Mexico"
Calle Agustín Melgar,"Monterrey, Nuevo León, Mexico"
Plan de Ayutla,"Monterrey, Nuevo León, Mexico"
Privada Central,"Monterrey, Nuevo León, Mexico"
José Manuel Othon,"Monterrey, Nuevo León, Mexico"
Calle Serna Chapa,"Monterrey, Nuevo León, Mexico"
Santa Catarina,"Monterrey, Nuevo León, Mexico"
Lázaro Garza Ayala,"Monterrey, Nuevo León, Mexico"
Jesús M. Garza,"Monterrey, Nuevo León, Mexico"
Privada Naranjo,"Monterrey, Nuevo León, Mexico"
Calle Naranjo,"Monterrey, Nuevo León, Mexico"
Privada Nogalar,"Monterrey, Nuevo León, Mexico"
Mora,"Monterrey, Nuevo León, Mexico"
Privada Gardenia,"Monterrey, Nuevo León, Mexico"
Calle Nardo,"Monterrey, Nuevo León, Mexico"
Calle Violeta,"Monterrey, Nuevo León, Mexico"
Limón,"Monterrey, Nuevo León, Mexico"
Granada,"Monterrey, Nuevo León, Mexico"
Privada Peral,"Monterrey, Nuevo León, Mexico"
Calle Camelia,"Monterrey, Nuevo León, Mexico"
Privada Independencia,"Monterrey, Nuevo León, Mexico"
Calle Rosa,"Monterrey, Nuevo León, Mexico"
Privada Durazno,"Monterrey, Nuevo León, Mexico"
Privada Olivo,"Monterrey, Nuevo León, Mexico"
Calle Fresno,"Monterrey, Nuevo León, Mexico"
Calle Laurel,"Monterrey, Nuevo León, Mexico"
Privada Palma,"Monterrey, Nuevo León, Mexico"
Privada Manzano,"Monterrey, Nuevo León, Mexico"
Privada Guadalupe Victoria,"Monterrey, Nuevo León, Mexico"
Privada Progreso,"Monterrey, Nuevo León, Mexico"
Calle Segunda de Cuautla,"Monterrey, Nuevo León, Mexico"
Privada Hernán Cortés,"Monterrey, Nuevo León, Mexico"
Calle Francisco Pizarro,"Monterrey, Nuevo León, Mexico"
Privada Francisco Pizarro,"Monterrey, Nuevo León, Mexico"
Calle Juan Ponce de León,"Monterrey, Nuevo León, Mexico"
Privada Juan Ponce de León,"Monterrey, Nuevo León, Mexico"
Calle Licenciado Benito Juárez,"Monterrey, Nuevo León, Mexico"
Miguel Barragán,"Monterrey, Nuevo León, Mexico"
Privada José Mariano Jiménez,"Monterrey, Nuevo León, Mexico"
Calle Diego de Montemayor Norte,"Monterrey, Nuevo León, Mexico"
Diego de Montemayor,"Monterrey, Nuevo León, Mexico"
Manuel Dobalo N,"Monterrey, Nuevo León, Mexico"
Calle Orquídea,"Monterrey, Nuevo León, Mexico"
Calle Begonia,"Monterrey, Nuevo León, Mexico"
Calle Jazmín,"Monterrey, Nuevo León, Mexico"
Doctor José María Coss N,"Monterrey, Nuevo León, Mexico"
Privada Orquídea,"Monterrey, Nuevo León, Mexico"
Privada Begonia,"Monterrey, Nuevo León, Mexico"
Calle Ciprés,"Monterrey, Nuevo León, Mexico"
Calle Juan De La Barrera,"Monterrey, Nuevo León, Mexico"
Calle Álamo,"Monterrey, Nuevo León, Mexico"
Privada Granada,"Monterrey, Nuevo León, Mexico"
Privada Mora,"Monterrey, Nuevo León, Mexico"
4a. Privada,"Monterrey, Nuevo León, Mexico"
Privada 21 de Marzo,"Monterrey, Nuevo León, Mexico"
Alicia,"Monterrey, Nuevo León, Mexico"
"['Calle Maclovio Herrera', 'Calle Nueva Rosita']","Monterrey, Nuevo León, Mexico"
Plan de Guadalupe,"Monterrey, Nuevo León, Mexico"
Privada Heliodoro Pérez,"Monterrey, Nuevo León, Mexico"
Privada Vía Tampico,"Monterrey, Nuevo León, Mexico"
Francisco Murgía,"Monterrey, Nuevo León, Mexico"
Hermanos Flores Magón,"Monterrey, Nuevo León, Mexico"
Costituyentes del 57,"Monterrey, Nuevo León, Mexico"
Lucio Blanco,"Monterrey, Nuevo León, Mexico"
Calle Crispín Treviño,"Monterrey, Nuevo León, Mexico"
Privada Crispín Treviño,"Monterrey, Nuevo León, Mexico"
Privada Maclovio Herrera,"Monterrey, Nuevo León, Mexico"
Calle Vasco De Gama,"Monterrey, Nuevo León, Mexico"
Calzada Victoria,"Monterrey, Nuevo León, Mexico"
Calle Gustavo A. Madero,"Monterrey, Nuevo León, Mexico"
Avenida Céntrika Principal,"Monterrey, Nuevo León, Mexico"
Calle Marco Polo,"Monterrey, Nuevo León, Mexico"
Calle Plan de Ayutla,"Monterrey, Nuevo León, Mexico"
Privada Luis Carvajal Y de la Cueva,"Monterrey, Nuevo León, Mexico"
Privada Diego de Montemayor,"Monterrey, Nuevo León, Mexico"
2a. de San Francisco,"Monterrey, Nuevo León, Mexico"
