name,colonia
Calle Rafael J. Verger,"Monterrey, Nuevo León, Mexico"
Calle Vicente Ferrara,"Monterrey, Nuevo León, Mexico"
Privada Vicente Ferrara,"Monterrey, Nuevo León, Mexico"
Calle Jardín del Cerro,"Monterrey, Nuevo León, Mexico"
Privada Oscar F. Castillón,"Monterrey, Nuevo León, Mexico"
Privada De Arriba,"Monterrey, Nuevo León, Mexico"
Calle Loma Larga,"Monterrey, Nuevo León, Mexico"
Las Mitras,"Monterrey, Nuevo León, Mexico"
Cerro de las Mitras,"Monterrey, Nuevo León, Mexico"
"['Calle Loma Larga', 'Calle Cerro de la Silla']","Monterrey, Nuevo León, Mexico"
Privada Cerro De Picachos,"Monterrey, Nuevo León, Mexico"
Privada Cerro de la Silla,"Monterrey, Nuevo León, Mexico"
Muguerza,"Monterrey, Nuevo León, Mexico"
Pirineos,"Monterrey, Nuevo León, Mexico"
Calle Andes,"Monterrey, Nuevo León, Mexico"
Apeninos,"Monterrey, Nuevo León, Mexico"
Privada Apenino,"Monterrey, Nuevo León, Mexico"
Calle Baudelaire,"Monterrey, Nuevo León, Mexico"
Calle Picachos,"Monterrey, Nuevo León, Mexico"
Cerro de Picachos,"Monterrey, Nuevo León, Mexico"
Verlaine,"Monterrey, Nuevo León, Mexico"
Capitán Aguilar,"Monterrey, Nuevo León, Mexico"
Calle Santos Degollado Sur,"Monterrey, Nuevo León, Mexico"
Calle Liendo,"Monterrey, Nuevo León, Mexico"
Privada Liendo,"Monterrey, Nuevo León, Mexico"
Calle Lope de Vega,"Monterrey, Nuevo León, Mexico"
Cerro del Obispado,"Monterrey, Nuevo León, Mexico"
"['Calle Mozart', 'Calle Beethoven']","Monterrey, Nuevo León, Mexico"
Callejón Larralde,"Monterrey, Nuevo León, Mexico"
Privada Los Hernández,"Monterrey, Nuevo León, Mexico"
José Treviño,"Monterrey, Nuevo León, Mexico"
Calle Joel Rocha,"Monterrey, Nuevo León, Mexico"
Calle Ángel Martínez Villarreal,"Monterrey, Nuevo León, Mexico"
"['Calle Ángel Martínez Villarreal', 'Calle Pedro P. Quintanilla']","Monterrey, Nuevo León, Mexico"
Calle Virgilio Garza,"Monterrey, Nuevo León, Mexico"
Prolongación Modesto Arreola,"Monterrey, Nuevo León, Mexico"
Calle Loma Blanca,"Monterrey, Nuevo León, Mexico"
Calle Marcelino M. Lacas,"Monterrey, Nuevo León, Mexico"
Calle José Calderón,"Monterrey, Nuevo León, Mexico"
Calle Ramón García Chavaria,"Monterrey, Nuevo León, Mexico"
Calle José Francisco Muguerza,"Monterrey, Nuevo León, Mexico"
Calle Daniel Zambrano,"Monterrey, Nuevo León, Mexico"
Avenida 5a.,"Monterrey, Nuevo León, Mexico"
Avenida 4a.,"Monterrey, Nuevo León, Mexico"
Privada Aguilar,"Monterrey, Nuevo León, Mexico"
Calle Joseph A. Robertson,"Monterrey, Nuevo León, Mexico"
Prolongación Isaac Garza,"Monterrey, Nuevo León, Mexico"
Calle José L. Garza,"Monterrey, Nuevo León, Mexico"
Calle General Rosendo Ocañas,"Monterrey, Nuevo León, Mexico"
José L. Garza,"Monterrey, Nuevo León, Mexico"
"['José L. Garza', 'Calle Isaac Garza']","Monterrey, Nuevo León, Mexico"
Prolongación Carlos Salazar,"Monterrey, Nuevo León, Mexico"
Calle Gonzalitos,"Monterrey, Nuevo León, Mexico"
Calle Lázaro Cárdenas,"Monterrey, Nuevo León, Mexico"
Calle Segunda De Joseph A. Robertson,"Monterrey, Nuevo León, Mexico"
Calle Primera De Joseph A. Robertson,"Monterrey, Nuevo León, Mexico"
General Rosendo Ocaña,"Monterrey, Nuevo León, Mexico"
Calle Carlos M. Ayala,"Monterrey, Nuevo León, Mexico"
Calle Adolfo Rodríguez,"Monterrey, Nuevo León, Mexico"
Calle 5 de Mayo,"Monterrey, Nuevo León, Mexico"
Calle Cholula,"Monterrey, Nuevo León, Mexico"
Calle 15 de Mayo,"Monterrey, Nuevo León, Mexico"
Privada Peñoles,"Monterrey, Nuevo León, Mexico"
Privada Cholula,"Monterrey, Nuevo León, Mexico"
Privada 15 de Mayo,"Monterrey, Nuevo León, Mexico"
"['Privada Rodríguez Sur', 'Privada Evia']","Monterrey, Nuevo León, Mexico"
Calle Nicolás Bravo,"Monterrey, Nuevo León, Mexico"
Calle Mapimí,"Monterrey, Nuevo León, Mexico"
Privada Manuel Gutierrez,"Monterrey, Nuevo León, Mexico"
Calle Manuel Gutiérrez,"Monterrey, Nuevo León, Mexico"
Calle Rodríguez Colonial,"Monterrey, Nuevo León, Mexico"
J. Rosas,"Monterrey, Nuevo León, Mexico"
Calle Ángela Peralta,"Monterrey, Nuevo León, Mexico"
Calle Santos Degollado,"Monterrey, Nuevo León, Mexico"
Calle Alejandro de Humboldt,"Monterrey, Nuevo León, Mexico"
Calle Tulancingo,"Monterrey, Nuevo León, Mexico"
Calle Jerónimo Treviño,"Monterrey, Nuevo León, Mexico"
Calle Ingeniero Constantino de Tarnava,"Monterrey, Nuevo León, Mexico"
Calle Artículo 123,"Monterrey, Nuevo León, Mexico"
Calle Xicoténcatl,"Monterrey, Nuevo León, Mexico"
"['Calle Jerónimo Treviño', 'Calle José Navarro']","Monterrey, Nuevo León, Mexico"
Calle Juan Álvarez,"Monterrey, Nuevo León, Mexico"
Calle Julián Villagrán,"Monterrey, Nuevo León, Mexico"
Calle Amado Nervo,"Monterrey, Nuevo León, Mexico"
Calle Vicente Guerrero,"Monterrey, Nuevo León, Mexico"
Calle Manuel Doblado,"Monterrey, Nuevo León, Mexico"
Luis Carvajal y de la Cueva,"Monterrey, Nuevo León, Mexico"
