calle,colonia,geometry,municipio
Payún,PORTAL DE CUMBRES 2DO SECT,"POLYGON Z ((-100.38947500007106 25.74260599976725 0, -100.38915000037207 25.742320000068105 0, -100.38819999973003 25.741529999609952 0, -100.3884800000518 25.741230000164535 0, -100.38880999998139 25.740909999796827 0, -100.38909999986492 25.740579999867236 0, -100.38946000027863 25.74020999989176 0, -100.38977999974702 25.739890000423372 0, -100.39006999963061 25.739559999594462 0, -100.39036999997535 25.739180000057104 0, -100.39066800022789 25.738879999712367 0, -100.39221999985295 25.740100000215023 0, -100.39192000040754 25.740379999637412 0, -100.3916899996936 25.740659999959178 0, -100.39137000022521 25.740980000326942 0, -100.39131999971806 25.740920000257972 0, -100.39123999962612 25.740849999727857 0, -100.3911600004335 25.740829999704886 0, -100.39106000031859 25.740809999681915 0, -100.39092999971956 25.740809999681915 0, -100.39059999979003 25.74113999961145 0, -100.39047000009026 25.74127999977236 0, -100.39026000029861 25.74147000044036 0, -100.39004000004581 25.741689999793834 0, -100.3899399999309 25.741749999862748 0, -100.38947500007106 25.74260599976725 0))",
Cañón Santa Rosa,COLONIAL CUMBRES,"POLYGON Z ((-100.39640000015976 25.733720000078108 0, -100.39701000041106 25.734170000145582 0, -100.39814000036057 25.734919999658416 0, -100.39855000038204 25.735199999980182 0, -100.39866999962061 25.735360000164064 0, -100.39823999957616 25.735630000024628 0, -100.39777000038504 25.735910000346394 0, -100.39736999992539 25.736140000161015 0, -100.39697999992688 25.73638000043684 0, -100.39687999981197 25.736470000090605 0, -100.39675999967409 25.736559999744372 0, -100.39660000038958 25.73667000032043 0, -100.39640999972158 25.736759999974197 0, -100.39617000034508 25.736840000066138 0, -100.39601999972308 25.736920000158023 0, -100.39589000002331 25.737020000272935 0, -100.39574000030063 25.737179999557497 0, -100.39558000011675 25.73704999985779 0, -100.39572999983949 25.73688000011208 0, -100.39597999967708 25.736699999905227 0, -100.39525999974904 25.736220000252956 0, -100.39470000000483 25.73565999960948 0, -100.39484000016574 25.735469999840802 0, -100.3951100000263 25.73515999993424 0, -100.39541000037104 25.734809999981678 0, -100.39572000027766 25.73443000044432 0, -100.39601000016125 25.73413999966141 0, -100.39640000015976 25.733720000078108 0))",
Kilimanjaro,CUMBRES DE SANTA CLARA,"POLYGON Z ((-100.39800000019972 25.739949999592966 0, -100.39691000029615 25.739070000380366 0, -100.39658000036655 25.73950000042487 0, -100.39704999955768 25.739850000377373 0, -100.39671999962815 25.740519999798323 0, -100.39628999958364 25.741060000418827 0, -100.39615000032211 25.741119999588477 0, -100.39550000002481 25.74121999970339 0, -100.3950200003726 25.74100999991174 0, -100.39449999977501 25.74084000016603 0, -100.39486999975054 25.74041999968341 0, -100.39474000005083 25.74022999991473 0, -100.39367000017023 25.738669999920717 0, -100.39402000012274 25.738353999737456 0, -100.39543000039407 25.736920000158023 0, -100.39558000011675 25.73704999985779 0, -100.39574000030063 25.737179999557497 0, -100.39589000002331 25.737020000272935 0, -100.39601999972308 25.736920000158023 0, -100.39617000034508 25.736840000066138 0, -100.39640999972158 25.736759999974197 0, -100.39660000038958 25.73667000032043 0, -100.39675999967409 25.736559999744372 0, -100.39687999981197 25.736470000090605 0, -100.39697999992688 25.73638000043684 0, -100.39736999992539 25.736140000161015 0, -100.39777000038504 25.735910000346394 0, -100.39823999957616 25.735630000024628 0, -100.39866999962061 25.735360000164064 0, -100.39855000038204 25.735199999980182 0, -100.39878000019672 25.735300000095094 0, -100.39900000044952 25.73515999993424 0, -100.40085000032713 25.735679999632453 0, -100.40024999963765 25.736389999998664 0, -100.40015999998388 25.736470000090605 0, -100.40081000028113 25.737020000272935 0, -100.40118999981848 25.737330000179554 0, -100.40114000021072 25.73741000027144 0, -100.40102000007278 25.737499999925205 0, -100.40093999998089 25.73755000043235 0, -100.40050999993639 25.737729999739884 0, -100.40018999956868 25.737880000361884 0, -100.40007999989194 25.73803000008462 0, -100.39991000014624 25.738279999922213 0, -100.3998300000543 25.738460000129066 0, -100.39970999991641 25.738739999551512 0, -100.39966000030864 25.73887000015054 0, -100.39958999977853 25.739110000426365 0, -100.39950000012476 25.739260000149045 0, -100.39942000003282 25.739369999825783 0, -100.39913999971105 25.739679999732346 0, -100.39872999968958 25.739949999592966 0, -100.39831000010628 25.740200000329935 0, -100.39800000019972 25.739949999592966 0))",
Malinche,CUMBRES DE SANTA CLARA 3ER SECT,"POLYGON Z ((-100.39640999972158 25.74172000027795 0, -100.39630999960667 25.741580000117096 0, -100.39550000002481 25.74121999970339 0, -100.39615000032211 25.741119999588477 0, -100.39628999958364 25.741060000418827 0, -100.39671999962815 25.740519999798323 0, -100.39704999955768 25.739850000377373 0, -100.39658000036655 25.73950000042487 0, -100.39691000029615 25.739070000380366 0, -100.39800000019972 25.739949999592966 0, -100.39831000010628 25.740200000329935 0, -100.39872000012775 25.74055000028244 0, -100.39911000012626 25.740849999727857 0, -100.39927999987196 25.740989999888768 0, -100.39790999964663 25.7429999999502 0, -100.39640999972158 25.74172000027795 0))",
Calle Cerdeña,VALLE INFONAVIT SECT 1,"POLYGON Z ((-100.37852999985944 25.735739999701366 0, -100.3786400004355 25.735460000278977 0, -100.37879000015823 25.73524999958795 0, -100.37910999962662 25.73489000007362 0, -100.37961999976301 25.734310000306436 0, -100.3799499996926 25.733960000353875 0, -100.38008999985345 25.73380000017005 0, -100.38031999966807 25.7335900003784 0, -100.3807800001967 25.73331999961846 0, -100.38174999996238 25.73296000010407 0, -100.38197000021518 25.73300000015007 0, -100.38207000033009 25.733020000173042 0, -100.38220999959168 25.73304999975784 0, -100.38248999991339 25.73318999991875 0, -100.38263999963613 25.73333999964143 0, -100.38277999979698 25.733579999917254 0, -100.38289999993492 25.73386999980079 0, -100.38316000023366 25.73435000035238 0, -100.38335000000234 25.734580000167057 0, -100.38396000025364 25.735030000234474 0, -100.38429000018323 25.735269999610978 0, -100.3844799999519 25.735409999771832 0, -100.38443000034408 25.735489999863773 0, -100.38443000034408 25.73560000043983 0, -100.38451000043602 25.735690000093598 0, -100.38441999988294 25.73581000023148 0, -100.38417000004534 25.7361099996769 0, -100.38390999974655 25.736410000021635 0, -100.38343000009428 25.73698999978882 0, -100.38291000039607 25.737569999556 0, -100.38203000028415 25.738549999782833 0, -100.38179000000832 25.738739999551512 0, -100.38164999984747 25.738779999597455 0, -100.38156999975553 25.738779999597455 0, -100.38146999964061 25.738759999574484 0, -100.3812999998949 25.73872000042786 0, -100.38164000028564 25.739090000403337 0, -100.38205999986894 25.739559999594462 0, -100.38195999975403 25.739639999686403 0, -100.38226000009877 25.739969999615937 0, -100.38281999984298 25.740579999867236 0, -100.38115000017223 25.742219999953193 0, -100.38047999985196 25.74145000041733 0, -100.38008000029163 25.741000000349914 0, -100.37967999983198 25.740579999867236 0, -100.37914999967262 25.739980000077082 0, -100.37850000027464 25.7392499996879 0, -100.37891999985794 25.738959999804308 0, -100.37928999983347 25.738680000381862 0, -100.37959999974004 25.73844999966792 0, -100.37998000017672 25.738170000245475 0, -100.38035999971407 25.73788999992371 0, -100.38014999992242 25.737660000109088 0, -100.38023999957619 25.737569999556 0, -100.3795599996941 25.736840000066138 0, -100.37852999985944 25.735739999701366 0))",
El Darién,VALLE INFONAVIT SECT 3,"POLYGON Z ((-100.38374000000084 25.72947999970239 0, -100.38335999956416 25.729639999886274 0, -100.38302999963463 25.7298000000701 0, -100.38285999988892 25.72998999983878 0, -100.38273999975104 25.73019999963043 0, -100.38254000042053 25.73054999958299 0, -100.38236000021368 25.730769999835786 0, -100.38209000035306 25.730990000088582 0, -100.3812999998949 25.73129000043332 0, -100.38105999961914 25.731340000041143 0, -100.3807299996896 25.731270000410348 0, -100.38041000022116 25.73115999983429 0, -100.37982999955466 25.73072000022802 0, -100.37951000008627 25.730479999952195 0, -100.37871000006629 25.729869999700895 0, -100.37842999974453 25.72967000037039 0, -100.37815000032208 25.729390000048625 0, -100.3777800003466 25.729100000165033 0, -100.37811999983796 25.72879000025847 0, -100.37852000029761 25.728480000351908 0, -100.37825000043705 25.72818000000717 0, -100.37750000002484 25.727319999918222 0, -100.3799630002921 25.72509499983454 0, -100.38105999961914 25.726439999806303 0, -100.38135000040205 25.72674000015104 0, -100.38146000007879 25.726849999827778 0, -100.38174999996238 25.72713999971137 0, -100.38199999979997 25.72742999959496 0, -100.38207999989191 25.7275099996869 0, -100.38230999970659 25.727729999939697 0, -100.38257000000533 25.727990000238492 0, -100.38283999986595 25.728269999660938 0, -100.38310000016475 25.728549999982704 0, -100.38339000004834 25.728879999912238 0, -100.38359999983999 25.729200000279945 0, -100.38374000000084 25.72947999970239 0))",
Everest,VALLE INFONAVIT SECT 5,"POLYGON Z ((-100.38747000024017 25.732349999852772 0, -100.3874500002172 25.732180000107064 0, -100.38710999982646 25.731970000315414 0, -100.38675000031213 25.73177000008559 0, -100.38632000026763 25.73162000036291 0, -100.38593999983095 25.731549999832794 0, -100.38548999976354 25.731440000156056 0, -100.38532999957965 25.73138999964891 0, -100.3850900002032 25.731190000318406 0, -100.38480999988144 25.73090999999664 0, -100.38462000011276 25.730769999835786 0, -100.38445999992888 25.730660000159048 0, -100.38412999999935 25.730450000367398 0, -100.38388999972358 25.730789999858757 0, -100.38369000039307 25.731110000226522 0, -100.38335000000234 25.73134999960297 0, -100.3832400003256 25.73150999978685 0, -100.38306999968057 25.731680000431822 0, -100.38261999961315 25.7318999997853 0, -100.38232999972956 25.732209999691918 0, -100.38213000039906 25.732559999644423 0, -100.38197000021518 25.73300000015007 0, -100.38174999996238 25.73296000010407 0, -100.38166000030861 25.732909999596984 0, -100.38107000008029 25.732209999691918 0, -100.3809499999424 25.732280000221976 0, -100.3806299995747 25.73246000042883 0, -100.38076000017372 25.732220000153063 0, -100.3807800001967 25.73203999994621 0, -100.38076999973555 25.7318999997853 0, -100.38070999966658 25.731730000039647 0, -100.3806299995747 25.731549999832794 0, -100.38059999998984 25.731360000064115 0, -100.38041000022116 25.73115999983429 0, -100.3807299996896 25.731270000410348 0, -100.38105999961914 25.731340000041143 0, -100.3812999998949 25.73129000043332 0, -100.38209000035306 25.730990000088582 0, -100.38236000021368 25.730769999835786 0, -100.38254000042053 25.73054999958299 0, -100.38273999975104 25.73019999963043 0, -100.38285999988892 25.72998999983878 0, -100.38302999963463 25.7298000000701 0, -100.38335999956416 25.729639999886274 0, -100.38374000000084 25.72947999970239 0, -100.38404000034558 25.729350000002682 0, -100.38431999976802 25.7291899998188 0, -100.38445000036705 25.72906000011909 0, -100.38458000006682 25.728879999912238 0, -100.38476000027367 25.72854000042082 0, -100.38497000006532 25.72828999968391 0, -100.38530999955668 25.72801999982329 0, -100.38581000013124 25.727959999754376 0, -100.38632000026763 25.727859999639463 0, -100.3868399999659 25.727669999870784 0, -100.38716999989543 25.727540000171018 0, -100.38763999998588 25.727370000425367 0, -100.38796999991541 25.727130000149543 0, -100.38807000003032 25.727190000218513 0, -100.38817000014524 25.727099999665427 0, -100.38827999982198 25.727170000195542 0, -100.38837999993689 25.72723999982628 0, -100.38880000041951 25.727529999709873 0, -100.38913999991092 25.727769999985696 0, -100.3893000000948 25.72789000012358 0, -100.38944999981749 25.728010000261463 0, -100.3897700001852 25.728240000076084 0, -100.39010000011478 25.728480000351908 0, -100.3902299998145 25.7285799995675 0, -100.3903999995602 25.72871000016653 0, -100.39030999990644 25.72885000032744 0, -100.38985999983896 25.72939999961045 0, -100.38961000000137 25.729679999932216 0, -100.38934000014075 25.729969999815808 0, -100.38911000032613 25.730290000183516 0, -100.3889399996811 25.730479999952195 0, -100.38895999970407 25.730640000136077 0, -100.38747000024017 25.732349999852772 0))",
Calle Barú,VALLE DE INFONAVIT SECT 2,"POLYGON Z ((-100.38174999996238 25.73296000010407 0, -100.3807800001967 25.73331999961846 0, -100.38031999966807 25.7335900003784 0, -100.38008999985345 25.73380000017005 0, -100.3799499996926 25.733960000353875 0, -100.37961999976301 25.734310000306436 0, -100.37910999962662 25.73489000007362 0, -100.37879000015823 25.73524999958795 0, -100.3786400004355 25.735460000278977 0, -100.37852999985944 25.735739999701366 0, -100.37772999983946 25.73489000007362 0, -100.3773500003021 25.73456999970591 0, -100.37672999958966 25.73409000005364 0, -100.37546999994038 25.73314999987275 0, -100.37479999962011 25.732630000174538 0, -100.37438999959863 25.732340000290947 0, -100.37407999969207 25.73212000003815 0, -100.37448999971355 25.731779999647415 0, -100.37477999959714 25.731520000247997 0, -100.37516000003382 25.731259999949202 0, -100.37544999991741 25.730959999604465 0, -100.37577000028512 25.73072000022802 0, -100.37594999959265 25.73056999960596 0, -100.37610999977653 25.730450000367398 0, -100.37637000007527 25.73027999972237 0, -100.37645000016721 25.7302199996534 0, -100.37655000028212 25.73015000002266 0, -100.3768099996816 25.729949999792836 0, -100.3771300000493 25.729679999932216 0, -100.37721000014125 25.729599999840275 0, -100.3774199999329 25.729410000071596 0, -100.37770000025466 25.72916999979583 0, -100.3777800003466 25.729100000165033 0, -100.37815000032208 25.729390000048625 0, -100.37842999974453 25.72967000037039 0, -100.37871000006629 25.729869999700895 0, -100.37951000008627 25.730479999952195 0, -100.37982999955466 25.73072000022802 0, -100.38041000022116 25.73115999983429 0, -100.38059999998984 25.731360000064115 0, -100.3806299995747 25.731549999832794 0, -100.38070999966658 25.731730000039647 0, -100.38076999973555 25.7318999997853 0, -100.3807800001967 25.73203999994621 0, -100.38076000017372 25.732220000153063 0, -100.3806299995747 25.73246000042883 0, -100.3809499999424 25.732280000221976 0, -100.38107000008029 25.732209999691918 0, -100.38166000030861 25.732909999596984 0, -100.38174999996238 25.73296000010407 0))",
Calle Albarranilla,VALLE DE INFONAVIT SECT 4,"POLYGON Z ((-100.38199999979997 25.72742999959496 0, -100.38174999996238 25.72713999971137 0, -100.38146000007879 25.726849999827778 0, -100.38135000040205 25.72674000015104 0, -100.38105999961914 25.726439999806303 0, -100.3799630002921 25.72509499983454 0, -100.38056200003615 25.724626999836346 0, -100.38183000005432 25.725829999555003 0, -100.38222000005283 25.726219999553507 0, -100.38252000039756 25.726510000336418 0, -100.38295000044201 25.72612999989974 0, -100.3832800003716 25.72590000008512 0, -100.38355000023216 25.726180000406885 0, -100.38382999965461 25.726459999829274 0, -100.38445000036705 25.72594000013106 0, -100.3850900002032 25.725400000409877 0, -100.38544999971754 25.725149999672908 0, -100.38571000001633 25.725340000340907 0, -100.3863800003366 25.725869999600945 0, -100.3867700003351 25.72618999996871 0, -100.38708000024167 25.72641999978333 0, -100.38729000003332 25.72657000040533 0, -100.38739999971006 25.7266600000591 0, -100.38796999991541 25.727130000149543 0, -100.38763999998588 25.727370000425367 0, -100.38716999989543 25.727540000171018 0, -100.3868399999659 25.727669999870784 0, -100.38632000026763 25.727859999639463 0, -100.38581000013124 25.727959999754376 0, -100.38530999955668 25.72801999982329 0, -100.38497000006532 25.72828999968391 0, -100.38476000027367 25.72854000042082 0, -100.38458000006682 25.728879999912238 0, -100.38445000036705 25.72906000011909 0, -100.38431999976802 25.7291899998188 0, -100.38404000034558 25.729350000002682 0, -100.38374000000084 25.72947999970239 0, -100.38359999983999 25.729200000279945 0, -100.38339000004834 25.728879999912238 0, -100.38310000016475 25.728549999982704 0, -100.38283999986595 25.728269999660938 0, -100.38257000000533 25.727990000238492 0, -100.38230999970659 25.727729999939697 0, -100.38207999989191 25.7275099996869 0, -100.38199999979997 25.72742999959496 0))",
Almeno,VALLE DE INFONAVIT SECT 6,"POLYGON Z ((-100.38277999979698 25.733579999917254 0, -100.38263999963613 25.73333999964143 0, -100.38248999991339 25.73318999991875 0, -100.38220999959168 25.73304999975784 0, -100.38207000033009 25.733020000173042 0, -100.38197000021518 25.73300000015007 0, -100.38213000039906 25.732559999644423 0, -100.38232999972956 25.732209999691918 0, -100.38261999961315 25.7318999997853 0, -100.38306999968057 25.731680000431822 0, -100.3832400003256 25.73150999978685 0, -100.38335000000234 25.73134999960297 0, -100.38369000039307 25.731110000226522 0, -100.38388999972358 25.730789999858757 0, -100.38412999999935 25.730450000367398 0, -100.38445999992888 25.730660000159048 0, -100.38462000011276 25.730769999835786 0, -100.38480999988144 25.73090999999664 0, -100.3850900002032 25.731190000318406 0, -100.38532999957965 25.73138999964891 0, -100.38548999976354 25.731440000156056 0, -100.38593999983095 25.731549999832794 0, -100.38632000026763 25.73162000036291 0, -100.38675000031213 25.73177000008559 0, -100.38710999982646 25.731970000315414 0, -100.3874500002172 25.732180000107064 0, -100.38747000024017 25.732349999852772 0, -100.38743000019423 25.73246000042883 0, -100.38692999961961 25.73314999987275 0, -100.3867700003351 25.733220000402866 0, -100.38661999971305 25.733330000079604 0, -100.38636000031363 25.7335500003324 0, -100.38626000019872 25.733680000032166 0, -100.38599999989992 25.733980000376903 0, -100.38571000001633 25.73429999984529 0, -100.38478999985847 25.735349999702862 0, -100.3847000002047 25.735320000118065 0, -100.38458999962864 25.73532999967989 0, -100.3844799999519 25.735409999771832 0, -100.38429000018323 25.735269999610978 0, -100.38396000025364 25.735030000234474 0, -100.38335000000234 25.734580000167057 0, -100.38316000023366 25.73435000035238 0, -100.38289999993492 25.73386999980079 0, -100.38277999979698 25.733579999917254 0))",
Arrayán,CUMBRES CAMPANARIO,"POLYGON Z ((-100.37936999992542 25.72319999968039 0, -100.37996999971557 25.72286000018903 0, -100.38115000017223 25.722100000214994 0, -100.38070000010475 25.721719999778315 0, -100.3805300003591 25.721670000170548 0, -100.37854000032058 25.721539999571462 0, -100.37844999976755 25.721409999871753 0, -100.37801000016123 25.721679999732373 0, -100.37791000004631 25.72175000026249 0, -100.37748000000187 25.722049999707906 0, -100.37735999986393 25.72212999979979 0, -100.37727999977204 25.721949999592994 0, -100.37608000019168 25.722749999612972 0, -100.37594999959265 25.722789999658914 0, -100.37585000037706 25.72239999966041 0, -100.37569999975506 25.721929999569966 0, -100.37563999968609 25.721719999778315 0, -100.37555000003232 25.721460000378897 0, -100.3752800001717 25.72066000035892 0, -100.37663999993589 25.72042999964492 0, -100.37670999956669 25.720589999828803 0, -100.37692000025766 25.721059999919248 0, -100.37711000002633 25.72091000019651 0, -100.37721000014125 25.720839999666396 0, -100.37772000027763 25.72046999969092 0, -100.37899000038806 25.720879999712395 0, -100.37912999964959 25.720899999735366 0, -100.37938000038656 25.720859999689424 0, -100.37973000033912 25.720649999897716 0, -100.38096999996537 25.71972000017803 0, -100.38125999984896 25.71953000040935 0, -100.3813399999409 25.719620000063117 0, -100.38166999987044 25.720050000107562 0, -100.38199999979997 25.72040999962195 0, -100.38232000016774 25.72075999957451 0, -100.38195999975403 25.720879999712395 0, -100.38131899987178 25.72110500019579 0, -100.38142999959467 25.721249999687927 0, -100.3815600001937 25.7214200003329 0, -100.38191000014626 25.72179000030843 0, -100.3825600004435 25.721570000055635 0, -100.38296000000383 25.721449999917752 0, -100.38314000021069 25.721380000286956 0, -100.38337000002531 25.72157999961746 0, -100.38376000002381 25.722069999730877 0, -100.38228999968356 25.72327999977233 0, -100.38056200003615 25.724626999836346 0, -100.3799630002921 25.72509499983454 0, -100.37918000015674 25.724320000068133 0, -100.37856999990544 25.723509999586952 0, -100.379030000434 25.72335999986427 0, -100.37936999992542 25.72319999968039 0))",
Ananás,VALLE VERDE SECT 1,"POLYGON Z ((-100.37284000006582 25.724259999999163 0, -100.3736000000398 25.724520000297957 0, -100.37436999957566 25.724799999720403 0, -100.37456000024366 25.72483000020452 0, -100.37511000042605 25.725429999994674 0, -100.37583999991591 25.726230000014652 0, -100.37624999993739 25.726729999689894 0, -100.37706999998039 25.727649999847756 0, -100.37772999983946 25.728360000214025 0, -100.37774999986243 25.72838999979882 0, -100.37811999983796 25.72879000025847 0, -100.3777800003466 25.729100000165033 0, -100.37770000025466 25.72916999979583 0, -100.3774199999329 25.729410000071596 0, -100.37721000014125 25.729599999840275 0, -100.3771300000493 25.729679999932216 0, -100.3768099996816 25.729949999792836 0, -100.37655000028212 25.73015000002266 0, -100.37645000016721 25.7302199996534 0, -100.37637000007527 25.73027999972237 0, -100.37610999977653 25.730450000367398 0, -100.37594999959265 25.73056999960596 0, -100.37577000028512 25.73072000022802 0, -100.37544999991741 25.730959999604465 0, -100.37516000003382 25.731259999949202 0, -100.37477999959714 25.731520000247997 0, -100.37448999971355 25.731779999647415 0, -100.37407999969207 25.73212000003815 0, -100.37362000006283 25.731799999670386 0, -100.37339999980998 25.731629999924735 0, -100.37329000013324 25.73150000022497 0, -100.37319999958015 25.73136999962594 0, -100.37294999974256 25.731019999673435 0, -100.37267999988194 25.730589999628933 0, -100.37238999999835 25.730159999584487 0, -100.37226000029864 25.72998999983878 0, -100.37214999972258 25.730080000391865 0, -100.37154999993243 25.72916999979583 0, -100.37085999958919 25.728209999591968 0, -100.37068999984348 25.728010000261463 0, -100.3705299996596 25.72783000005461 0, -100.37029000028315 25.727500000125076 0, -100.36996999991544 25.727110000126572 0, -100.36970999961665 25.726689999643952 0, -100.36951999984797 25.726310000106594 0, -100.36931999961814 25.725949999692887 0, -100.36910999982649 25.725590000178556 0, -100.3688899995737 25.725209999741878 0, -100.36863999973605 25.72479000015852 0, -100.36849000001337 25.72454000032093 0, -100.36826999976051 25.724170000345396 0, -100.36842000038257 25.724119999838308 0, -100.3688199999429 25.723939999631455 0, -100.36953000030911 25.723620000163066 0, -100.37033999989092 25.723250000187534 0, -100.37072999988942 25.72309000000365 0, -100.37093999968107 25.723509999586952 0, -100.37163999958614 25.724300000045105 0, -100.37284000006582 25.724259999999163 0))",
Candelón,VILLA DORADA,"POLYGON Z ((-100.37856999990544 25.723509999586952 0, -100.37809999981499 25.72368000023198 0, -100.37793000006928 25.723729999839804 0, -100.37766000020872 25.723829999954717 0, -100.3771300000493 25.723990000138542 0, -100.37676000007377 25.724130000299454 0, -100.37645999972904 25.724210000391395 0, -100.37628999998338 25.724280000022134 0, -100.37565999970906 25.724509999836812 0, -100.37532999977952 25.724609999951724 0, -100.37511000042605 25.724679999582463 0, -100.3749300002192 25.724730000089608 0, -100.37456000024366 25.72483000020452 0, -100.37436999957566 25.724799999720403 0, -100.3736000000398 25.724520000297957 0, -100.37284000006582 25.724259999999163 0, -100.37163999958614 25.724300000045105 0, -100.37093999968107 25.723509999586952 0, -100.37185000027716 25.723399999910214 0, -100.37239999956017 25.72331999981833 0, -100.37353999997089 25.723139999611476 0, -100.37438999959863 25.723020000372856 0, -100.37491999975805 25.722949999842797 0, -100.37544000035558 25.722849999727885 0, -100.37555000003232 25.722849999727885 0, -100.37594999959265 25.722789999658914 0, -100.37608000019168 25.722749999612972 0, -100.37727999977204 25.721949999592994 0, -100.37735999986393 25.72212999979979 0, -100.37748000000187 25.722049999707906 0, -100.37791000004631 25.72175000026249 0, -100.37801000016123 25.721679999732373 0, -100.37844999976755 25.721409999871753 0, -100.37854000032058 25.721539999571462 0, -100.37877000013526 25.722020000123052 0, -100.37901999997285 25.722530000259496 0, -100.37936999992542 25.72319999968039 0, -100.379030000434 25.72335999986427 0, -100.37856999990544 25.723509999586952 0))",
Alcino,PATRONATO CRUZ VERDE,"POLYGON Z ((-100.3815600001937 25.7214200003329 0, -100.38142999959467 25.721249999687927 0, -100.38131899987178 25.72110500019579 0, -100.38195999975403 25.720879999712395 0, -100.38232000016774 25.72075999957451 0, -100.3826599996591 25.721130000449307 0, -100.38296000000383 25.721449999917752 0, -100.3825600004435 25.721570000055635 0, -100.38191000014626 25.72179000030843 0, -100.3815600001937 25.7214200003329 0))",
Agrimonia,CONDOCASA CUMBRES,"POLYGON Z ((-100.38070000010475 25.721719999778315 0, -100.38115000017223 25.722100000214994 0, -100.37996999971557 25.72286000018903 0, -100.37936999992542 25.72319999968039 0, -100.37901999997285 25.722530000259496 0, -100.37877000013526 25.722020000123052 0, -100.37854000032058 25.721539999571462 0, -100.3805300003591 25.721670000170548 0, -100.38070000010475 25.721719999778315 0))",
Abrojo,CIMA DE LAS CUMBRES,"POLYGON Z ((-100.37856999990544 25.723509999586952 0, -100.37918000015674 25.724320000068133 0, -100.3799630002921 25.72509499983454 0, -100.37750000002484 25.727319999918222 0, -100.3764199996831 25.726180000406885 0, -100.3756700001702 25.725320000317936 0, -100.37511000042605 25.724679999582463 0, -100.37532999977952 25.724609999951724 0, -100.37565999970906 25.724509999836812 0, -100.37628999998338 25.724280000022134 0, -100.37645999972904 25.724210000391395 0, -100.37676000007377 25.724130000299454 0, -100.3771300000493 25.723990000138542 0, -100.37766000020872 25.723829999954717 0, -100.37793000006928 25.723729999839804 0, -100.37809999981499 25.72368000023198 0, -100.37856999990544 25.723509999586952 0))",
"['Doradilla', 'Abrojo']",LA ESPERANZA,"POLYGON Z ((-100.3744499996676 25.71717999995718 0, -100.3746000002896 25.718349999952693 0, -100.37466000035857 25.718510000136575 0, -100.37499999984999 25.718829999604964 0, -100.37598000007677 25.71898000022702 0, -100.37626999996036 25.71900000024999 0, -100.3767800000968 25.71931999971838 0, -100.37715600034898 25.72008499992296 0, -100.37715000007228 25.72027999992224 0, -100.37772000027763 25.72046999969092 0, -100.37721000014125 25.720839999666396 0, -100.37711000002633 25.72091000019651 0, -100.37692000025766 25.721059999919248 0, -100.37670999956669 25.720589999828803 0, -100.37663999993589 25.72042999964492 0, -100.3752800001717 25.72066000035892 0, -100.37479000005828 25.72075000001263 0, -100.37427000036007 25.720819999643425 0, -100.37368999969357 25.72085000012754 0, -100.37351999994792 25.72038999959898 0, -100.37355999999386 25.720380000037153 0, -100.37358999957866 25.72034999955298 0, -100.3736000000398 25.720310000406357 0, -100.3736000000398 25.720270000360415 0, -100.37358999957866 25.720230000314416 0, -100.37355999999386 25.720210000291445 0, -100.37351999994792 25.7201999998303 0, -100.37347999990192 25.7201999998303 0, -100.37339000024815 25.719729999739855 0, -100.37325999964912 25.71845999962943 0, -100.3732100000413 25.71820999979184 0, -100.37304000029565 25.716859999589474 0, -100.3736000000398 25.716809999981706 0, -100.37411000017624 25.716789999958678 0, -100.37436000001384 25.71648999961394 0, -100.3744499996676 25.71717999995718 0))",
Amelo,CENTRO URBANO LA ESCONDIDA,"POLYGON Z ((-100.3767800000968 25.71931999971838 0, -100.37626999996036 25.71900000024999 0, -100.37768999979352 25.71921000004164 0, -100.37879999972006 25.719390000248495 0, -100.37895000034212 25.71939999981032 0, -100.38006000026866 25.719539999971175 0, -100.38062000001287 25.719629999624942 0, -100.38096999996537 25.71972000017803 0, -100.37973000033912 25.720649999897716 0, -100.37938000038656 25.720859999689424 0, -100.37912999964959 25.720899999735366 0, -100.37899000038806 25.720879999712395 0, -100.37772000027763 25.72046999969092 0, -100.37715000007228 25.72027999992224 0, -100.37715600034898 25.72008499992296 0, -100.3767800000968 25.71931999971838 0))",
Licopodio,RINCON DE LAS CUMBRES,"POLYGON Z ((-100.38544999971754 25.725149999672908 0, -100.3850900002032 25.725400000409877 0, -100.38445000036705 25.72594000013106 0, -100.38382999965461 25.726459999829274 0, -100.38355000023216 25.726180000406885 0, -100.3832800003716 25.72590000008512 0, -100.38295000044201 25.72612999989974 0, -100.38252000039756 25.726510000336418 0, -100.38222000005283 25.726219999553507 0, -100.38183000005432 25.725829999555003 0, -100.38056200003615 25.724626999836346 0, -100.38228999968356 25.72327999977233 0, -100.38376000002381 25.722069999730877 0, -100.38384999967758 25.72216999984579 0, -100.38410999997637 25.722479999752352 0, -100.38417000004534 25.722530000259496 0, -100.38449000041305 25.722889999773827 0, -100.38486999995041 25.723290000233476 0, -100.38497000006532 25.723370000325417 0, -100.38439999985997 25.723840000415862 0, -100.38433000022917 25.72401000016157 0, -100.38435999981397 25.72413999986128 0, -100.38452999955967 25.724320000068133 0, -100.38476000027367 25.72450000027493 0, -100.38505000015721 25.724719999628462 0, -100.38538999964862 25.72495999990423 0, -100.38554000027062 25.725080000042112 0, -100.38544999971754 25.725149999672908 0))",
