Usuario,Nombre,Fecha,Texto,Likes,Retweets,Comentarios,Citas,Enlace,Videos,Imágenes
@elnortelocal,elnortelocal,"Jun 21, 2024 · 2:50 PM UTC","#Local Por décadas, habitantes de las colonias al norte de Monterrey sufrían por las inundaciones, ahora, sufren por la basura que tapa el drenaje.  https://elnorte.com/XXDq2n",16,2,5,0,https://twitter.com/elnortelocal/status/1804164890686337412#m,,
@elnortelocal,elnortelocal,"Jun 21, 2024 · 2:36 PM UTC","#Local La tormenta 'Alberto' ya impacta en recarga de presas de NL y en algunos daños, que no fueron similares a los causados por otros fenómenos.    Más información en https://elnorte.com/fdhw0n https://elnorte.com/tBtg8n",16,2,0,1,https://twitter.com/elnortelocal/status/1804161377080139789#m,,
@elnortelocal,elnortelocal,"Jun 21, 2024 · 2:34 PM UTC","#Local Luego de su peor nivel en 10 años, las 3 presas que abastecen a la Ciudad suben 28% su almacenamiento en conjunto con lluvias de ""Alberto"".  Más información en https://elnorte.com/3S4pmn https://elnorte.com/qYEv2n",3,1,0,0,https://twitter.com/elnortelocal/status/1804161032232780003#m,,
@elnortelocal,elnortelocal,"Jun 21, 2024 · 2:58 AM UTC","#Local La tormenta ""Alberto"" provoca deslaves que paralizan la Autopista y la Carretera libre de Monterrey a Saltillo, y causan filas kilométricas.  https://elnorte.com/DeWy3n",10,1,0,0,https://twitter.com/elnortelocal/status/1803985907457888501#m,,
@elnortelocal,elnortelocal,"Jun 21, 2024 · 1:07 AM UTC","#Local Conagua advierte por lluvias fuertes e incluso caída de granizo y actividad eléctrica en las próximas horas, tras degradación de 'Alberto'.  https://elnorte.com/WlO85n",77,25,0,2,https://twitter.com/elnortelocal/status/1803957801535832310#m,,
@elnortelocal,elnortelocal,"Jun 21, 2024 · 12:47 AM UTC","#Entérate La Sierra de Santiago es impactada por lluvias de la tormenta ""Alberto"" que dejó deslaves e inundaciones; la Cola de Caballo se desborda.  Más información en https://elnorte.com/71iTin",74,16,0,2,https://twitter.com/elnortelocal/status/1803952907173216343#m,['https://video.twimg.com/ext_tw_video/1803952874633703424/pu/vid/avc1/720x1280/TCfvrCp4_yLJe-TJ.mp4?tag=12'],
@elnortelocal,elnortelocal,"Jun 20, 2024 · 11:34 PM UTC","#Entérate La fuerza de los afluentes de agua en el Parque La Huasteca, tras las lluvias por ""Alberto"", rompen la carretera a la Presa Rompepicos.  Más información en https://elnorte.com/gto4rn  🎥Federico Padilla",266,60,2,0,https://twitter.com/elnortelocal/status/1803934448070598743#m,['https://video.twimg.com/ext_tw_video/1803934404856684544/pu/vid/avc1/480x848/mIpyR1fwisbfoBfc.mp4?tag=12'],
@elnortelocal,elnortelocal,"Jun 20, 2024 · 11:01 PM UTC","#Local Por décadas, habitantes de las colonias al norte de Monterrey sufrían por las inundaciones, ahora, sufren por la basura que tapa el drenaje.  https://elnorte.com/XXDq2n",33,10,5,2,https://twitter.com/elnortelocal/status/1803926224013512758#m,,
@elnortelocal,elnortelocal,"Jun 20, 2024 · 10:27 PM UTC","#Entérate Por el desprendimiento de un tramo de la Avenida Miguel de la Madrid, a la altura del Hospital Materno Infantil, los carriles fueron cerrados a la circulación.  https://elnorte.com/84R7Rn",127,32,4,1,https://twitter.com/elnortelocal/status/1803917656099021170#m,['https://video.twimg.com/ext_tw_video/1803916433732050944/pu/vid/avc1/848x480/wmTleGz7adBAsVZD.mp4?tag=12'],
@elnortelocal,elnortelocal,"Jun 20, 2024 · 10:04 PM UTC","#Local Cinco columnas de la L4, que se construyen a un costado del Río Santa Catarina, son inundadas al desbordarse el cauce.  https://elnorte.com/ytenun",52,18,7,1,https://twitter.com/elnortelocal/status/1803911759167639897#m,['https://video.twimg.com/ext_tw_video/1803907280372375552/pu/vid/avc1/848x480/VU0YVgk85xIBQbbb.mp4?tag=12'],
@elnortelocal,elnortelocal,"Jun 20, 2024 · 9:32 PM UTC","#Local Conagua inicia con desfogue del embalse para liberar espacio en la Presa La Boca para que capte más escurrimientos de la tormenta ""Alberto"".  Más información en https://elnorte.com/y65c2n",596,65,6,1,https://twitter.com/elnortelocal/status/1803903688466932173#m,['https://video.twimg.com/ext_tw_video/1803903624625389568/pu/vid/avc1/1280x720/ppM3f4-6fzl5HxxG.mp4?tag=12'],
@elnortelocal,elnortelocal,"Jun 20, 2024 · 8:30 PM UTC","#Local La Casa del Tec, ubicada en Santa Catarina y que será rifada este sábado, sufre inundaciones por las lluvias de la tormenta ""Alberto"".  Más información en https://elnorte.com/C85YUn",42,14,5,1,https://twitter.com/elnortelocal/status/1803888060171718708#m,['https://video.twimg.com/ext_tw_video/1803888007209984000/pu/vid/avc1/480x848/ELxh2TyzEWAL2pgj.mp4?tag=12'],
@elnortelocal,elnortelocal,"Jun 20, 2024 · 8:16 PM UTC","#Entérate Una familia en Montemorelos es rescatada al quedar atrapada por el agua; en Santiago, trabajadores rescatan embalses, y en Guadalupe, ayudan a un caballo amarrado cerca del Río Santa Catarina.  Más información: https://elnorte.com/cEelun",39,12,1,1,https://twitter.com/elnortelocal/status/1803884525316985189#m,,['https://pbs.twimg.com/media/GQir2DUXEAATKw4.jpg']
@elnortelocal,elnortelocal,"Jun 20, 2024 · 7:56 PM UTC","#Local Conagua inicia con desfogue del embalse para liberar espacio en la Presa La Boca para que capte más escurrimientos de la tormenta ""Alberto"".  https://elnorte.com/y65c2n",16,2,1,2,https://twitter.com/elnortelocal/status/1803879665393696788#m,,
@elnortelocal,elnortelocal,"Jun 20, 2024 · 7:39 PM UTC","#Local Protección Civil de Santa Catarina evacua a familias que vivían a las orillas del Río Santa Catarina, a la altura de la zona de La Huasteca.  https://elnorte.com/DCV4sn",685,160,5,10,https://twitter.com/elnortelocal/status/1803875442996158553#m,['https://video.twimg.com/ext_tw_video/1803875372800282624/pu/vid/avc1/854x480/i7mtK0Am3pbzXE9k.mp4?tag=12'],
